Term	Database	ID	gene_number	Background number	PValue	Qvalue	Input	Hyperlink
positive regulation of lateral root development	Gene Ontology	GO:1901333	3	7	1.03314686061e-05	2.66767771472e-05	Barthea05240|Barthea20683|Barthea06097	http://amigo.geneontology.org/amigo/term/GO:1901333
multicellular organismal water homeostasis	Gene Ontology	GO:0050891	3	7	1.03314686061e-05	2.66767771472e-05	Barthea05240|Barthea20683|Barthea06097	http://amigo.geneontology.org/amigo/term/GO:0050891
negative regulation of secondary cell wall biogenesis	Gene Ontology	GO:1901347	3	8	1.41589329463e-05	3.54999333292e-05	Barthea23180|Barthea14794|Barthea41691	http://amigo.geneontology.org/amigo/term/GO:1901347
regulation of cell cycle G1/S phase transition	Gene Ontology	GO:1902806	3	8	1.41589329463e-05	3.54999333292e-05	Barthea05240|Barthea20683|Barthea06097	http://amigo.geneontology.org/amigo/term/GO:1902806
phosphate ion homeostasis	Gene Ontology	GO:0055062	4	30	1.61943244158e-05	4.00231160563e-05	Barthea45056|Barthea32889|Barthea27777|Barthea10030	http://amigo.geneontology.org/amigo/term/GO:0055062
L-phenylalanine biosynthetic process	Gene Ontology	GO:0009094	4	31	1.82201176961e-05	4.43954980481e-05	Barthea06524|Barthea18773|Barthea01853|Barthea04802	http://amigo.geneontology.org/amigo/term/GO:0009094
stomatal complex formation	Gene Ontology	GO:0010376	3	9	1.88163472915e-05	4.52115011309e-05	Barthea05240|Barthea20683|Barthea06097	http://amigo.geneontology.org/amigo/term/GO:0010376
quiescent center organization	Gene Ontology	GO:1904961	3	10	2.43806355966e-05	5.7778766551e-05	Barthea13129|Barthea42165|Barthea15378	http://amigo.geneontology.org/amigo/term/GO:1904961
cell morphogenesis	Gene Ontology	GO:0000902	4	34	2.54181147363e-05	5.94234303971e-05	Barthea23017|Barthea11113|Barthea19853|Barthea16401	http://amigo.geneontology.org/amigo/term/GO:0000902
guard mother cell cytokinesis	Gene Ontology	GO:0010235	3	11	3.09276567944e-05	7.13397950057e-05	Barthea05240|Barthea20683|Barthea06097	http://amigo.geneontology.org/amigo/term/GO:0010235
positive regulation of secondary cell wall biogenesis	Gene Ontology	GO:1901348	3	14	5.7207930147e-05	0.000130223314677	Barthea23180|Barthea14794|Barthea41691	http://amigo.geneontology.org/amigo/term/GO:1901348
response to abscisic acid	Gene Ontology	GO:0009737	14	895	6.65473211278e-05	0.000149515409807	Barthea13132|Barthea20683|Barthea42168|Barthea15375|Barthea26638|Barthea23180|Barthea05240|Barthea41610|Barthea45676|Barthea14794|Barthea09737|Barthea29780|Barthea41691|Barthea06097	http://amigo.geneontology.org/amigo/term/GO:0009737
response to gravity	Gene Ontology	GO:0009629	3	15	6.8423501841e-05	0.000151759818186	Barthea05240|Barthea20683|Barthea06097	http://amigo.geneontology.org/amigo/term/GO:0009629
regulation of stomatal complex patterning	Gene Ontology	GO:2000037	3	17	9.4963454438e-05	0.000206931150856	Barthea05240|Barthea20683|Barthea06097	http://amigo.geneontology.org/amigo/term/GO:2000037
root morphogenesis	Gene Ontology	GO:0010015	4	49	9.56907055981e-05	0.000206931150856	Barthea45056|Barthea32889|Barthea27777|Barthea10030	http://amigo.geneontology.org/amigo/term/GO:0010015
response to light stimulus	Gene Ontology	GO:0009416	9	403	0.000109188365372	0.000233204780362	Barthea13132|Barthea43714|Barthea15375|Barthea16797|Barthea13620|Barthea11543|Barthea41070|Barthea07517|Barthea42168	http://amigo.geneontology.org/amigo/term/GO:0009416
guard mother cell differentiation	Gene Ontology	GO:0010444	3	19	0.000127441262782	0.00026283522264	Barthea05240|Barthea20683|Barthea06097	http://amigo.geneontology.org/amigo/term/GO:0010444
negative regulation of cell division	Gene Ontology	GO:0051782	3	19	0.000127441262782	0.00026283522264	Barthea13129|Barthea42165|Barthea15378	http://amigo.geneontology.org/amigo/term/GO:0051782
fatty acid biosynthetic process	Gene Ontology	GO:0006633	6	165	0.000127619414461	0.00026283522264	Barthea22116|Barthea22191|Barthea35034|Barthea18940|Barthea19057|Barthea35386	http://amigo.geneontology.org/amigo/term/GO:0006633
megasporogenesis	Gene Ontology	GO:0009554	3	21	0.000166394407458	0.000338661558709	Barthea05240|Barthea20683|Barthea06097	http://amigo.geneontology.org/amigo/term/GO:0009554
gibberellin biosynthetic process	Gene Ontology	GO:0009686	4	59	0.000187988324196	0.000370500982011	Barthea45056|Barthea32889|Barthea27777|Barthea10030	http://amigo.geneontology.org/amigo/term/GO:0009686
negative regulation of response to water deprivation	Gene Ontology	GO:0080148	3	22	0.000188462927266	0.000370500982011	Barthea13132|Barthea42168|Barthea15375	http://amigo.geneontology.org/amigo/term/GO:0080148
positive regulation of response to water deprivation	Gene Ontology	GO:1902584	3	22	0.000188462927266	0.000370500982011	Barthea05240|Barthea20683|Barthea06097	http://amigo.geneontology.org/amigo/term/GO:1902584
guard cell differentiation	Gene Ontology	GO:0010052	3	23	0.000212344794602	0.000412760106361	Barthea05240|Barthea20683|Barthea06097	http://amigo.geneontology.org/amigo/term/GO:0010052
response to UV	Gene Ontology	GO:0009411	4	62	0.000225091709949	0.000432676286902	Barthea13132|Barthea23840|Barthea42168|Barthea15375	http://amigo.geneontology.org/amigo/term/GO:0009411
integument development	Gene Ontology	GO:0080060	3	28	0.000361121450882	0.000679065336985	Barthea13129|Barthea42165|Barthea15378	http://amigo.geneontology.org/amigo/term/GO:0080060
regulation of anthocyanin biosynthetic process	Gene Ontology	GO:0031540	3	28	0.000361121450882	0.000679065336985	Barthea33784|Barthea26651|Barthea04809	http://amigo.geneontology.org/amigo/term/GO:0031540
regulation of embryo sac central cell differentiation	Gene Ontology	GO:0045691	2	5	0.000411926152347	0.000758119408043	Barthea43428|Barthea03394	http://amigo.geneontology.org/amigo/term/GO:0045691
regulation of synergid differentiation	Gene Ontology	GO:0045697	2	5	0.000411926152347	0.000758119408043	Barthea43428|Barthea03394	http://amigo.geneontology.org/amigo/term/GO:0045697
response to osmotic stress	Gene Ontology	GO:0006970	7	299	0.000485317541323	0.000883788785777	Barthea22116|Barthea22191|Barthea35034|Barthea18940|Barthea19057|Barthea35386|Barthea08938	http://amigo.geneontology.org/amigo/term/GO:0006970
condensed chromosome	Gene Ontology	GO:0000793	2	6	0.000547617099234	0.000986851647577	Barthea01234|Barthea15079	http://amigo.geneontology.org/amigo/term/GO:0000793
negative regulation of long-day photoperiodism, flowering	Gene Ontology	GO:0048579	3	35	0.000662323406395	0.00118125720934	Barthea13129|Barthea42165|Barthea15378	http://amigo.geneontology.org/amigo/term/GO:0048579
regulation of DNA endoreduplication	Gene Ontology	GO:0032875	3	36	0.00071516500126	0.00126248515528	Barthea05240|Barthea20683|Barthea06097	http://amigo.geneontology.org/amigo/term/GO:0032875
cis-regulatory region sequence-specific DNA binding	Gene Ontology	GO:0000987	3	38	0.000828731344946	0.00144818709773	Barthea06524|Barthea01853|Barthea04802	http://amigo.geneontology.org/amigo/term/GO:0000987
regulation of seed growth	Gene Ontology	GO:0080113	3	39	0.000889556200442	0.00153893222676	Barthea13129|Barthea42165|Barthea15378	http://amigo.geneontology.org/amigo/term/GO:0080113
very long-chain fatty acid biosynthetic process	Gene Ontology	GO:0042761	3	40	0.000953140882886	0.00163260765088	Barthea23001|Barthea19842|Barthea11131	http://amigo.geneontology.org/amigo/term/GO:0042761
cellular response to phosphate starvation	Gene Ontology	GO:0016036	5	166	0.00107157066641	0.00181746789499	Barthea41610|Barthea45056|Barthea32889|Barthea27777|Barthea10030	http://amigo.geneontology.org/amigo/term/GO:0016036
anther development	Gene Ontology	GO:0048653	4	97	0.00112923300479	0.00189667291096	Barthea40285|Barthea27468|Barthea33198|Barthea26275	http://amigo.geneontology.org/amigo/term/GO:0048653
embryo sac development	Gene Ontology	GO:0009553	5	169	0.0011576245511	0.00192566391673	Barthea43428|Barthea05240|Barthea20683|Barthea06097|Barthea03394	http://amigo.geneontology.org/amigo/term/GO:0009553
leaf formation	Gene Ontology	GO:0010338	2	11	0.0015031934723	0.00247650329921	Barthea01234|Barthea15079	http://amigo.geneontology.org/amigo/term/GO:0010338
response to gibberellin	Gene Ontology	GO:0009739	5	180	0.00151739508506	0.00247650329921	Barthea40285|Barthea27468|Barthea33198|Barthea26275|Barthea28390	http://amigo.geneontology.org/amigo/term/GO:0009739
response to karrikin	Gene Ontology	GO:0080167	6	284	0.00203608954429	0.0032919952445	Barthea39137|Barthea43505|Barthea03308|Barthea14692|Barthea17974|Barthea01636	http://amigo.geneontology.org/amigo/term/GO:0080167
positive regulation of abscisic acid-activated signaling pathway	Gene Ontology	GO:0009789	4	121	0.0024669169414	0.00395163547095	Barthea40285|Barthea27468|Barthea33198|Barthea26275	http://amigo.geneontology.org/amigo/term/GO:0009789
leaf pavement cell development	Gene Ontology	GO:0090436	2	17	0.0032378222179	0.00500127896158	Barthea05240|Barthea20683	http://amigo.geneontology.org/amigo/term/GO:0090436
transcription regulator activity	Gene Ontology	GO:0140110	2	17	0.0032378222179	0.00500127896158	Barthea15997|Barthea00409	http://amigo.geneontology.org/amigo/term/GO:0140110
regulation of innate immune response	Gene Ontology	GO:0045088	2	17	0.0032378222179	0.00500127896158	Barthea01234|Barthea15079	http://amigo.geneontology.org/amigo/term/GO:0045088
positive regulation of histone H3-K27 methylation	Gene Ontology	GO:0061087	2	17	0.0032378222179	0.00500127896158	Barthea05240|Barthea20683	http://amigo.geneontology.org/amigo/term/GO:0061087
response to salt stress	Gene Ontology	GO:0009651	10	800	0.00371701860898	0.00569065680844	Barthea13820|Barthea43714|Barthea11684|Barthea16797|Barthea13620|Barthea41610|Barthea11543|Barthea41070|Barthea07517|Barthea09737	http://amigo.geneontology.org/amigo/term/GO:0009651
plant-type secondary cell wall biogenesis	Gene Ontology	GO:0009834	4	140	0.00409560618029	0.00621526201043	Barthea23180|Barthea14794|Barthea41691|Barthea25567	http://amigo.geneontology.org/amigo/term/GO:0009834
gibberellic acid mediated signaling pathway	Gene Ontology	GO:0009740	4	144	0.00451267071311	0.00678862637711	Barthea40285|Barthea27468|Barthea33198|Barthea26275	http://amigo.geneontology.org/amigo/term/GO:0009740
positive regulation of syringal lignin biosynthetic process	Gene Ontology	GO:1901430	2	21	0.00473453824458	0.007060992382	Barthea15997|Barthea00409	http://amigo.geneontology.org/amigo/term/GO:1901430
response to absence of light	Gene Ontology	GO:0009646	3	74	0.00505545031065	0.00747515302344	Barthea13132|Barthea42168|Barthea15375	http://amigo.geneontology.org/amigo/term/GO:0009646
response to wounding	Gene Ontology	GO:0009611	7	480	0.00658742059609	0.00960051379598	Barthea46276|Barthea06610|Barthea43898|Barthea34182|Barthea22232|Barthea08938|Barthea19659	http://amigo.geneontology.org/amigo/term/GO:0009611
response to cytokinin	Gene Ontology	GO:0009735	4	161	0.00660382162845	0.00960051379598	Barthea40285|Barthea27468|Barthea33198|Barthea26275	http://amigo.geneontology.org/amigo/term/GO:0009735
anther wall tapetum development	Gene Ontology	GO:0048658	2	27	0.00746529957106	0.0107624735483	Barthea15997|Barthea00409	http://amigo.geneontology.org/amigo/term/GO:0048658
stomatal movement	Gene Ontology	GO:0010118	3	94	0.00954857001237	0.0136520877036	Barthea13132|Barthea42168|Barthea15375	http://amigo.geneontology.org/amigo/term/GO:0010118
-	Gene Ontology	GO:0009870	2	32	0.0101656108751	0.0144151695196	Barthea21537|Barthea08508	http://amigo.geneontology.org/amigo/term/GO:0009870
response to hypoxia	Gene Ontology	GO:0001666	3	104	0.0124447605045	0.0175036062381	Barthea23001|Barthea19842|Barthea11131	http://amigo.geneontology.org/amigo/term/GO:0001666
blue light signaling pathway	Gene Ontology	GO:0009785	2	37	0.013232740545	0.0184618073733	Barthea18804|Barthea22052	http://amigo.geneontology.org/amigo/term/GO:0009785
response to blue light	Gene Ontology	GO:0009637	3	117	0.0168842550359	0.0233678089697	Barthea13132|Barthea42168|Barthea15375	http://amigo.geneontology.org/amigo/term/GO:0009637
plant-type hypersensitive response	Gene Ontology	GO:0009626	3	126	0.0204118309241	0.028025767856	Barthea23001|Barthea19842|Barthea11131	http://amigo.geneontology.org/amigo/term/GO:0009626
response to sucrose	Gene Ontology	GO:0009744	3	138	0.025697474432	0.0350052210767	Barthea13132|Barthea42168|Barthea15375	http://amigo.geneontology.org/amigo/term/GO:0009744
lateral root development	Gene Ontology	GO:0048527	3	144	0.0285896773769	0.0386407358298	Barthea00288|Barthea16120|Barthea06097	http://amigo.geneontology.org/amigo/term/GO:0048527
pollen tube guidance	Gene Ontology	GO:0010183	2	57	0.0288298112813	0.0386632352842	Barthea43428|Barthea03394	http://amigo.geneontology.org/amigo/term/GO:0010183
polarity specification of adaxial/abaxial axis	Gene Ontology	GO:0009944	2	58	0.0297377413547	0.0395740711875	Barthea01234|Barthea15079	http://amigo.geneontology.org/amigo/term/GO:0009944
asymmetric cell division	Gene Ontology	GO:0008356	2	59	0.0306569677409	0.0404859192303	Barthea01234|Barthea15079	http://amigo.geneontology.org/amigo/term/GO:0008356
defense response to fungus	Gene Ontology	GO:0050832	5	411	0.0397863029028	0.0521441697136	Barthea21537|Barthea01234|Barthea09737|Barthea08508|Barthea15079	http://amigo.geneontology.org/amigo/term/GO:0050832
primary root development	Gene Ontology	GO:0080022	2	75	0.0468070118328	0.0608843086246	Barthea05240|Barthea20683	http://amigo.geneontology.org/amigo/term/GO:0080022
positive regulation of cell differentiation	Gene Ontology	GO:0045597	1	10	0.0481300358193	0.0621380313189	Barthea36788	http://amigo.geneontology.org/amigo/term/GO:0045597
protein homodimerization activity	Gene Ontology	GO:0042803	5	439	0.0500708242019	0.0641648339772	Barthea13129|Barthea42165|Barthea01234|Barthea15378|Barthea15079	http://amigo.geneontology.org/amigo/term/GO:0042803
regulation of pollen tube growth	Gene Ontology	GO:0080092	2	79	0.0512377664155	0.0651774528668	Barthea23690|Barthea20417	http://amigo.geneontology.org/amigo/term/GO:0080092
regulation of root development	Gene Ontology	GO:2000280	2	80	0.0523681692219	0.0661291479955	Barthea35137|Barthea07554	http://amigo.geneontology.org/amigo/term/GO:2000280
endodermal cell differentiation	Gene Ontology	GO:0035987	1	12	0.0566300497738	0.0707634827465	Barthea36788	http://amigo.geneontology.org/amigo/term/GO:0035987
regulation of flower development	Gene Ontology	GO:0009909	3	191	0.0568562086807	0.0707634827465	Barthea26465|Barthea34021|Barthea34082	http://amigo.geneontology.org/amigo/term/GO:0009909
pollen tube	Gene Ontology	GO:0090406	2	90	0.0641441969658	0.0792639005364	Barthea23690|Barthea20417	http://amigo.geneontology.org/amigo/term/GO:0090406
negative regulation of lateral root development	Gene Ontology	GO:1901332	1	14	0.0650545625477	0.0798187185869	Barthea00176	http://amigo.geneontology.org/amigo/term/GO:1901332
ion homeostasis	Gene Ontology	GO:0050801	1	16	0.0734042412048	0.0894291107636	Barthea36788	http://amigo.geneontology.org/amigo/term/GO:0050801
response to virus	Gene Ontology	GO:0009615	2	99	0.0754213317512	0.091243988762	Barthea01234|Barthea15079	http://amigo.geneontology.org/amigo/term/GO:0009615
response to bacterium	Gene Ontology	GO:0009617	3	217	0.0765200562064	0.0919303453035	Barthea23001|Barthea19842|Barthea11131	http://amigo.geneontology.org/amigo/term/GO:0009617
xylem development	Gene Ontology	GO:0010089	2	103	0.0806213492974	0.0961896098514	Barthea13631|Barthea24723	http://amigo.geneontology.org/amigo/term/GO:0010089
auxin polar transport	Gene Ontology	GO:0009926	2	109	0.088621581528	0.105010504139	Barthea05240|Barthea20683	http://amigo.geneontology.org/amigo/term/GO:0009926
response to cold	Gene Ontology	GO:0009409	6	689	0.0931494890857	0.109624908924	Barthea15375|Barthea13132|Barthea13820|Barthea42168|Barthea11684|Barthea41283	http://amigo.geneontology.org/amigo/term/GO:0009409
Casparian strip	Gene Ontology	GO:0048226	1	23	0.102048291639	0.119286178741	Barthea36788	http://amigo.geneontology.org/amigo/term/GO:0048226
phloem or xylem histogenesis	Gene Ontology	GO:0010087	2	140	0.133155438349	0.154603294191	Barthea13631|Barthea24723	http://amigo.geneontology.org/amigo/term/GO:0010087
cellular response to auxin stimulus	Gene Ontology	GO:0071365	1	33	0.141446996124	0.16313553553	Barthea00176	http://amigo.geneontology.org/amigo/term/GO:0071365
regulation of root morphogenesis	Gene Ontology	GO:2000067	1	35	0.14911792028	0.170843709989	Barthea36788	http://amigo.geneontology.org/amigo/term/GO:2000067
anther dehiscence	Gene Ontology	GO:0009901	1	38	0.160496668334	0.182670550144	Barthea25567	http://amigo.geneontology.org/amigo/term/GO:0009901
defense response to bacterium	Gene Ontology	GO:0042742	5	640	0.164067045698	0.185513718338	Barthea21537|Barthea01234|Barthea09737|Barthea08508|Barthea15079	http://amigo.geneontology.org/amigo/term/GO:0042742
leaf morphogenesis	Gene Ontology	GO:0009965	2	170	0.179920248117	0.202118200807	Barthea01234|Barthea15079	http://amigo.geneontology.org/amigo/term/GO:0009965
response to freezing	Gene Ontology	GO:0050826	1	53	0.215159614501	0.240145892314	Barthea41283	http://amigo.geneontology.org/amigo/term/GO:0050826
regulation of defense response to fungus	Gene Ontology	GO:1900150	1	56	0.225659699864	0.248656866729	Barthea09737	http://amigo.geneontology.org/amigo/term/GO:1900150
regulation of salicylic acid mediated signaling pathway	Gene Ontology	GO:2000031	1	59	0.236020049726	0.258427016472	Barthea09737	http://amigo.geneontology.org/amigo/term/GO:2000031
response to salicylic acid	Gene Ontology	GO:0009751	2	211	0.246829714824	0.268563148833	Barthea28390|Barthea09737	http://amigo.geneontology.org/amigo/term/GO:0009751
transcription, DNA-templated	Gene Ontology	GO:0006351	2	226	0.271628907783	0.293698756541	Barthea01234|Barthea15079	http://amigo.geneontology.org/amigo/term/GO:0006351
chromatin binding	Gene Ontology	GO:0003682	2	229	0.276589462703	0.297204826383	Barthea15997|Barthea00409	http://amigo.geneontology.org/amigo/term/GO:0003682
regulation of jasmonic acid mediated signaling pathway	Gene Ontology	GO:2000022	1	101	0.367385608373	0.392331544744	Barthea09737	http://amigo.geneontology.org/amigo/term/GO:2000022
lignin biosynthetic process	Gene Ontology	GO:0009809	1	154	0.501555505085	0.529079892559	Barthea23840	http://amigo.geneontology.org/amigo/term/GO:0009809
pollen development	Gene Ontology	GO:0009555	2	469	0.624448517126	0.654724808866	Barthea15997|Barthea00409	http://amigo.geneontology.org/amigo/term/GO:0009555
root development	Gene Ontology	GO:0048364	2	494	0.652435658369	0.679948005408	Barthea13631|Barthea24723	http://amigo.geneontology.org/amigo/term/GO:0048364
response to jasmonic acid	Gene Ontology	GO:0009753	1	256	0.685215635588	0.709834161418	Barthea09737	http://amigo.geneontology.org/amigo/term/GO:0009753
calmodulin binding	Gene Ontology	GO:0005516	1	389	0.827413598299	0.85203900301	Barthea41610	http://amigo.geneontology.org/amigo/term/GO:0005516
nucleolus	Gene Ontology	GO:0005730	2	831	0.889195330701	0.910241374031	Barthea01234|Barthea15079	http://amigo.geneontology.org/amigo/term/GO:0005730
extracellular region	Gene Ontology	GO:0005576	2	3623	0.99999922254	0.999999999995	Barthea21537|Barthea08508	http://amigo.geneontology.org/amigo/term/GO:0005576
plasma membrane	Gene Ontology	GO:0005886	8	6358	0.9999996055	0.999999999995	Barthea27543|Barthea36624|Barthea33120|Barthea42152|Barthea35091|Barthea25579|Barthea05318|Barthea10747	http://amigo.geneontology.org/amigo/term/GO:0005886
cytoplasm	Gene Ontology	GO:0005737	11	7449	0.999999635434	0.999999999995	Barthea27543|Barthea36624|Barthea28117|Barthea00176|Barthea33120|Barthea42152|Barthea32595|Barthea25579|Barthea05318|Barthea10747|Barthea35091	http://amigo.geneontology.org/amigo/term/GO:0005737
cytosol	Gene Ontology	GO:0005829	3	6676	0.999999999995	0.999999999995	Barthea13129|Barthea42165|Barthea15378	http://amigo.geneontology.org/amigo/term/GO:0005829
