##Databases: KEGG PATHWAY, Gene Ontology
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
auxin efflux	Gene Ontology	GO:0010315	9	45	0.117492107041	0.999997412981	Barthea36321|Barthea29233|Barthea43885|Barthea41505|Barthea13981|Barthea13754|Barthea29413|Barthea41196|Barthea41195	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010315
protein refolding	Gene Ontology	GO:0042026	16	93	0.118127953689	0.999997412981	Barthea29198|Barthea45298|Barthea10202|Barthea21030|Barthea00187|Barthea21125|Barthea21107|Barthea21140|Barthea33284|Barthea08641|Barthea15070|Barthea46289|Barthea21117|Barthea20902|Barthea21134|Barthea24389	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0042026
meiotic cytokinesis	Gene Ontology	GO:0033206	4	14	0.118194904199	0.999997412981	Barthea39605|Barthea34192|Barthea22744|Barthea25043	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0033206
medium-chain fatty acid-CoA ligase activity	Gene Ontology	GO:0031956	4	14	0.118194904199	0.999997412981	Barthea24356|Barthea24357|Barthea09238|Barthea21553	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0031956
fatty acid elongation	Gene Ontology	GO:0030497	4	14	0.118194904199	0.999997412981	Barthea28894|Barthea21184|Barthea28870|Barthea26901	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0030497
response to hydroxyurea	Gene Ontology	GO:0072710	4	14	0.118194904199	0.999997412981	Barthea20957|Barthea20955|Barthea21003|Barthea21026	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0072710
histone H3-K36 methylation	Gene Ontology	GO:0010452	4	14	0.118194904199	0.999997412981	Barthea37760|Barthea29177|Barthea44673|Barthea19515	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010452
manganese ion transport	Gene Ontology	GO:0006828	4	14	0.118194904199	0.999997412981	Barthea43375|Barthea34947|Barthea02106|Barthea00262	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006828
short-day photoperiodism, flowering	Gene Ontology	GO:0048575	4	14	0.118194904199	0.999997412981	Barthea24162|Barthea19144|Barthea15722|Barthea38646	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0048575
phosphatidate phosphatase activity	Gene Ontology	GO:0008195	6	26	0.120010849313	0.999997412981	Barthea43374|Barthea29220|Barthea41478|Barthea03325|Barthea29427|Barthea10383	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0008195
sulfate assimilation	Gene Ontology	GO:0000103	6	26	0.120010849313	0.999997412981	Barthea20478|Barthea26990|Barthea38488|Barthea10428|Barthea20803|Barthea44718	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0000103
stomatal closure	Gene Ontology	GO:0090332	10	52	0.121021171153	0.999997412981	Barthea19428|Barthea15070|Barthea10223|Barthea21030|Barthea17771|Barthea31180|Barthea08641|Barthea07508|Barthea24919|Barthea45298	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0090332
transcription factor binding	Gene Ontology	GO:0008134	27	173	0.121203168168	0.999997412981	Barthea39654|Barthea25269|Barthea25470|Barthea39460|Barthea36729|Barthea35989|Barthea22578|Barthea21846|Barthea40563|Barthea21199|Barthea36568|Barthea36581|Barthea37820|Barthea31299|Barthea41551|Barthea34496|Barthea12027|Barthea13760|Barthea31556|Barthea01985|Barthea28449|Barthea22851|Barthea12253|Barthea12012|Barthea02002|Barthea00200|Barthea17742	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0008134
PSII associated light-harvesting complex II catabolic process	Gene Ontology	GO:0010304	5	20	0.121298396982	0.999997412981	Barthea39722|Barthea02369|Barthea29049|Barthea41632|Barthea46305	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010304
peptidyl-L-cysteine S-palmitoylation	Gene Ontology	GO:0018230	8	39	0.123408697488	0.999997412981	Barthea23160|Barthea37861|Barthea39268|Barthea41715|Barthea16344|Barthea19962|Barthea38425|Barthea42909	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0018230
proteolysis involved in cellular protein catabolic process	Gene Ontology	GO:0051603	17	101	0.12455064958	0.999997412981	Barthea41261|Barthea22904|Barthea22905|Barthea16947|Barthea24873|Barthea24875|Barthea22123|Barthea37008|Barthea44549|Barthea33923|Barthea25528|Barthea36695|Barthea31646|Barthea36924|Barthea07393|Barthea08777|Barthea31840	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0051603
xyloglucan metabolic process	Gene Ontology	GO:0010411	15	87	0.12571929993	0.999997412981	Barthea22692|Barthea06027|Barthea19275|Barthea42473|Barthea07429|Barthea28955|Barthea30788|Barthea26972|Barthea09960|Barthea06056|Barthea17439|Barthea35801|Barthea19565|Barthea06196|Barthea32816	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010411
alternative oxidase activity	Gene Ontology	GO:0009916	3	9	0.128878743541	0.999997412981	Barthea17847|Barthea09328|Barthea21065	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009916
adenylylsulfate kinase activity	Gene Ontology	GO:0004020	3	9	0.128878743541	0.999997412981	Barthea26990|Barthea20803|Barthea38488	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0004020
regulation of protein localization to cell surface	Gene Ontology	GO:2000008	3	9	0.128878743541	0.999997412981	Barthea09175|Barthea10636|Barthea19657	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:2000008
ubiquitin-ubiquitin ligase activity	Gene Ontology	GO:0034450	3	9	0.128878743541	0.999997412981	Barthea36945|Barthea44549|Barthea34922	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0034450
P granule	Gene Ontology	GO:0043186	3	9	0.128878743541	0.999997412981	Barthea31861|Barthea36458|Barthea29686	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043186
protein desumoylation	Gene Ontology	GO:0016926	3	9	0.128878743541	0.999997412981	Barthea41035|Barthea35015|Barthea35016	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016926
hydrogen sulfide biosynthetic process	Gene Ontology	GO:0070814	3	9	0.128878743541	0.999997412981	Barthea26990|Barthea20803|Barthea38488	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0070814
chorismate metabolic process	Gene Ontology	GO:0046417	3	9	0.128878743541	0.999997412981	Barthea29094|Barthea01767|Barthea46400	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0046417
triglyceride metabolic process	Gene Ontology	GO:0006641	3	9	0.128878743541	0.999997412981	Barthea39494|Barthea25084|Barthea15330	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006641
response to ammonium ion	Gene Ontology	GO:0060359	3	9	0.128878743541	0.999997412981	Barthea28379|Barthea04283|Barthea32192	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0060359
negative regulation of posttranscriptional gene silencing	Gene Ontology	GO:0060149	3	9	0.128878743541	0.999997412981	Barthea24098|Barthea39567|Barthea34892	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0060149
nectar secretion	Gene Ontology	GO:0071836	3	9	0.128878743541	0.999997412981	Barthea31586|Barthea37917|Barthea44798	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0071836
auxin polar transport	Gene Ontology	GO:0009926	18	109	0.130441567186	0.999997412981	Barthea41195|Barthea44785|Barthea36321|Barthea31885|Barthea29233|Barthea43885|Barthea13806|Barthea21740|Barthea13981|Barthea13754|Barthea37927|Barthea29413|Barthea29076|Barthea41505|Barthea10324|Barthea41196|Barthea07519|Barthea17602	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009926
response to unfolded protein	Gene Ontology	GO:0006986	11	60	0.13269346383	0.999997412981	Barthea15070|Barthea45298|Barthea21030|Barthea21125|Barthea21107|Barthea21140|Barthea08641|Barthea20902|Barthea21117|Barthea21134|Barthea24389	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006986
misfolded protein binding	Gene Ontology	GO:0051787	11	60	0.13269346383	0.999997412981	Barthea15070|Barthea45298|Barthea21030|Barthea21125|Barthea21107|Barthea21140|Barthea08641|Barthea20902|Barthea21117|Barthea21134|Barthea24389	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0051787
L-aspartate:2-oxoglutarate aminotransferase activity	Gene Ontology	GO:0004069	5	21	0.137707808285	0.999997412981	Barthea35227|Barthea35015|Barthea35016|Barthea35160|Barthea07579	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0004069
anthocyanin accumulation in tissues in response to UV light	Gene Ontology	GO:0043481	5	21	0.137707808285	0.999997412981	Barthea41505|Barthea29998|Barthea37927|Barthea32978|Barthea13981	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043481
positive regulation of syringal lignin biosynthetic process	Gene Ontology	GO:1901430	5	21	0.137707808285	0.999997412981	Barthea15997|Barthea43305|Barthea46117|Barthea46116|Barthea46120	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:1901430
exonuclease activity	Gene Ontology	GO:0004527	4	15	0.137711729892	0.999997412981	Barthea46369|Barthea24093|Barthea39559|Barthea04127	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0004527
plastid small ribosomal subunit	Gene Ontology	GO:0000312	4	15	0.137711729892	0.999997412981	Barthea00002|Barthea10356|Barthea20971|Barthea30085	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0000312
nucleoside diphosphate kinase activity	Gene Ontology	GO:0004550	4	15	0.137711729892	0.999997412981	Barthea22829|Barthea09289|Barthea37930|Barthea08154	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0004550
carbohydrate homeostasis	Gene Ontology	GO:0033500	4	15	0.137711729892	0.999997412981	Barthea32820|Barthea09263|Barthea24372|Barthea40934	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0033500
mitochondrion localization	Gene Ontology	GO:0051646	4	15	0.137711729892	0.999997412981	Barthea30259|Barthea43736|Barthea10325|Barthea30137	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0051646
polyamine transmembrane transporter activity	Gene Ontology	GO:0015203	4	15	0.137711729892	0.999997412981	Barthea05325|Barthea17426|Barthea12101|Barthea12428	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0015203
clathrin-dependent endocytosis	Gene Ontology	GO:0072583	9	47	0.138823793978	0.999997412981	Barthea28196|Barthea34480|Barthea20884|Barthea05819|Barthea31535|Barthea14521|Barthea40341|Barthea32506|Barthea12630	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0072583
negative regulation of flower development	Gene Ontology	GO:0009910	17	103	0.13893360774	0.999997412981	Barthea29177|Barthea39654|Barthea13847|Barthea31299|Barthea42884|Barthea41248|Barthea19515|Barthea09169|Barthea15470|Barthea31881|Barthea37313|Barthea42787|Barthea05841|Barthea22668|Barthea41236|Barthea46142|Barthea09168	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009910
trichome morphogenesis	Gene Ontology	GO:0010090	18	111	0.144680140053	0.999997412981	Barthea09570|Barthea43736|Barthea27543|Barthea43110|Barthea07883|Barthea36729|Barthea10597|Barthea25370|Barthea12012|Barthea10325|Barthea12027|Barthea28449|Barthea31556|Barthea43021|Barthea24133|Barthea39593|Barthea15997|Barthea29850	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010090
cell wall modification	Gene Ontology	GO:0042545	17	104	0.146462614698	0.999997412981	Barthea17221|Barthea41274|Barthea23018|Barthea18755|Barthea21024|Barthea44650|Barthea38926|Barthea44670|Barthea02552|Barthea44660|Barthea22213|Barthea20986|Barthea46415|Barthea20900|Barthea41232|Barthea38935|Barthea22683	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0042545
inflorescence development	Gene Ontology	GO:0010229	8	41	0.147189431418	0.999997412981	Barthea35314|Barthea36379|Barthea29233|Barthea25056|Barthea19430|Barthea43885|Barthea29413|Barthea07698	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010229
negative regulation of seed germination	Gene Ontology	GO:0010187	16	97	0.148116640309	0.999997412981	Barthea08641|Barthea22668|Barthea17707|Barthea42809|Barthea45298|Barthea17710|Barthea08865|Barthea21030|Barthea42706|Barthea39605|Barthea22744|Barthea31895|Barthea34192|Barthea15070|Barthea33837|Barthea25043	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010187
response to salt stress	Gene Ontology	GO:0009651	107	800	0.148638118737	0.999997412981	Barthea24214|Barthea35216|Barthea02215|Barthea16515|Barthea20895|Barthea13773|Barthea24351|Barthea29164|Barthea25050|Barthea08596|Barthea19446|Barthea28539|Barthea27141|Barthea44427|Barthea27127|Barthea22782|Barthea39605|Barthea24324|Barthea23099|Barthea25908|Barthea44560|Barthea39681|Barthea20674|Barthea22890|Barthea44598|Barthea42909|Barthea30137|Barthea39679|Barthea36379|Barthea29141|Barthea41440|Barthea04283|Barthea24332|Barthea39268|Barthea24339|Barthea19811|Barthea27131|Barthea21366|Barthea09485|Barthea24140|Barthea25802|Barthea28379|Barthea41238|Barthea46074|Barthea30879|Barthea45006|Barthea45007|Barthea10584|Barthea03397|Barthea40759|Barthea04808|Barthea36198|Barthea42706|Barthea13537|Barthea22731|Barthea41845|Barthea37861|Barthea05014|Barthea17385|Barthea33422|Barthea13933|Barthea35098|Barthea33837|Barthea28840|Barthea13848|Barthea22503|Barthea37050|Barthea45013|Barthea14838|Barthea22744|Barthea22623|Barthea20700|Barthea24221|Barthea46291|Barthea45144|Barthea38304|Barthea07517|Barthea39345|Barthea22966|Barthea46323|Barthea14823|Barthea35438|Barthea30259|Barthea43649|Barthea31892|Barthea31895|Barthea33172|Barthea14932|Barthea44987|Barthea44984|Barthea13620|Barthea28123|Barthea06231|Barthea03769|Barthea04637|Barthea34192|Barthea09692|Barthea42809|Barthea25043|Barthea32192|Barthea45017|Barthea45004|Barthea41070|Barthea44992|Barthea22384|Barthea19558|Barthea11145	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009651
floral organ development	Gene Ontology	GO:0048437	6	28	0.149092548996	0.999997412981	Barthea31692|Barthea18754|Barthea24261|Barthea25007|Barthea46414|Barthea09182	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0048437
cysteine-type peptidase activity	Gene Ontology	GO:0008234	6	28	0.149092548996	0.999997412981	Barthea24873|Barthea36924|Barthea24875|Barthea25528|Barthea41035|Barthea40723	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0008234
cell cycle arrest	Gene Ontology	GO:0007050	6	28	0.149092548996	0.999997412981	Barthea41242|Barthea20957|Barthea20955|Barthea21003|Barthea21026|Barthea37740	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0007050
U2 snRNP	Gene Ontology	GO:0005686	6	28	0.149092548996	0.999997412981	Barthea28868|Barthea33462|Barthea37669|Barthea09074|Barthea09169|Barthea09168	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005686
regulation of anthocyanin biosynthetic process	Gene Ontology	GO:0031540	6	28	0.149092548996	0.999997412981	Barthea06517|Barthea13806|Barthea27146|Barthea29011|Barthea19645|Barthea29014	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0031540
sterol metabolic process	Gene Ontology	GO:0016125	15	90	0.149601012463	0.999997412981	Barthea09749|Barthea21092|Barthea25446|Barthea28769|Barthea23132|Barthea36372|Barthea07826|Barthea07832|Barthea14255|Barthea39381|Barthea17531|Barthea23133|Barthea37081|Barthea07829|Barthea28916	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016125
nucleosome binding	Gene Ontology	GO:0031491	9	48	0.150184891094	0.999997412981	Barthea33875|Barthea07701|Barthea07702|Barthea10526|Barthea13770|Barthea33817|Barthea36638|Barthea13768|Barthea33902	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0031491
cellular response to nitrogen starvation	Gene Ontology	GO:0006995	10	55	0.151808523219	0.999997412981	Barthea36499|Barthea09458|Barthea04283|Barthea21064|Barthea31742|Barthea40812|Barthea02866|Barthea17690|Barthea02829|Barthea42829	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006995
suberin biosynthetic process	Gene Ontology	GO:0010345	11	62	0.152459582202	0.999997412981	Barthea30732|Barthea12041|Barthea22856|Barthea12043|Barthea13815|Barthea14823|Barthea12039|Barthea11726|Barthea31835|Barthea09276|Barthea11728	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010345
diacylglycerol catabolic process	Gene Ontology	GO:0046340	3	10	0.154876000978	0.999997412981	Barthea08865|Barthea17707|Barthea17710	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0046340
embryo sac egg cell differentiation	Gene Ontology	GO:0009560	3	10	0.154876000978	0.999997412981	Barthea14028|Barthea14031|Barthea41558	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009560
folic acid metabolic process	Gene Ontology	GO:0046655	3	10	0.154876000978	0.999997412981	Barthea27053|Barthea26913|Barthea34889	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0046655
biotin carboxylase activity	Gene Ontology	GO:0004075	3	10	0.154876000978	0.999997412981	Barthea28894|Barthea28870|Barthea35426	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0004075
PcG protein complex	Gene Ontology	GO:0031519	3	10	0.154876000978	0.999997412981	Barthea37719|Barthea17385|Barthea42793	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0031519
glycine metabolic process	Gene Ontology	GO:0006544	3	10	0.154876000978	0.999997412981	Barthea27053|Barthea26913|Barthea34889	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006544
protein complex oligomerization	Gene Ontology	GO:0051259	3	10	0.154876000978	0.999997412981	Barthea35098|Barthea46285|Barthea03769	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0051259
ubiquitin-like modifier activating enzyme activity	Gene Ontology	GO:0008641	3	10	0.154876000978	0.999997412981	Barthea24385|Barthea34676|Barthea04415	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0008641
glycine hydroxymethyltransferase activity	Gene Ontology	GO:0004372	3	10	0.154876000978	0.999997412981	Barthea27053|Barthea26913|Barthea34889	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0004372
monoacylglycerol catabolic process	Gene Ontology	GO:0052651	3	10	0.154876000978	0.999997412981	Barthea08865|Barthea17707|Barthea17710	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0052651
indole-3-acetic acid amido synthetase activity	Gene Ontology	GO:0010279	3	10	0.154876000978	0.999997412981	Barthea29150|Barthea06034|Barthea10106	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010279
phosphoenolpyruvate transport	Gene Ontology	GO:0015714	3	10	0.154876000978	0.999997412981	Barthea09560|Barthea19786|Barthea34705	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0015714
L-serine catabolic process	Gene Ontology	GO:0006565	3	10	0.154876000978	0.999997412981	Barthea27053|Barthea26913|Barthea34889	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006565
-	Gene Ontology	GO:1904482	3	10	0.154876000978	0.999997412981	Barthea27053|Barthea26913|Barthea34889	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:1904482
urea transport	Gene Ontology	GO:0015840	3	10	0.154876000978	0.999997412981	Barthea36824|Barthea41508|Barthea31463	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0015840
glycine biosynthetic process from serine	Gene Ontology	GO:0019264	3	10	0.154876000978	0.999997412981	Barthea27053|Barthea26913|Barthea34889	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0019264
sequestering of actin monomers	Gene Ontology	GO:0042989	3	10	0.154876000978	0.999997412981	Barthea35314|Barthea10284|Barthea07698	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0042989
abscisic acid catabolic process	Gene Ontology	GO:0046345	3	10	0.154876000978	0.999997412981	Barthea21092|Barthea25446|Barthea28769	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0046345
serine binding	Gene Ontology	GO:0070905	3	10	0.154876000978	0.999997412981	Barthea27053|Barthea26913|Barthea34889	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0070905
(+)-abscisic acid 8'-hydroxylase activity	Gene Ontology	GO:0010295	3	10	0.154876000978	0.999997412981	Barthea21092|Barthea25446|Barthea28769	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010295
circadian regulation of gene expression	Gene Ontology	GO:0032922	7	35	0.155885894477	0.999997412981	Barthea23053|Barthea23052|Barthea29291|Barthea13455|Barthea23039|Barthea23038|Barthea29289	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0032922
endosome transport via multivesicular body sorting pathway	Gene Ontology	GO:0032509	7	35	0.155885894477	0.999997412981	Barthea11937|Barthea42461|Barthea29247|Barthea10327|Barthea33489|Barthea17166|Barthea29406	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0032509
response to bacterium	Gene Ontology	GO:0009617	32	217	0.156550999116	0.999997412981	Barthea27135|Barthea31340|Barthea20894|Barthea22515|Barthea25084|Barthea03658|Barthea38057|Barthea46229|Barthea46205|Barthea22615|Barthea35887|Barthea28513|Barthea12909|Barthea43400|Barthea46415|Barthea20900|Barthea31703|Barthea46140|Barthea44773|Barthea39494|Barthea37091|Barthea38025|Barthea08630|Barthea34947|Barthea33668|Barthea18755|Barthea11947|Barthea34927|Barthea21371|Barthea12273|Barthea07972|Barthea29076	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009617
positive regulation of GTPase activity	Gene Ontology	GO:0043547	4	16	0.158413128548	0.999997412981	Barthea33441|Barthea22662|Barthea22750|Barthea04808	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043547
phenylalanine ammonia-lyase activity	Gene Ontology	GO:0045548	4	16	0.158413128548	0.999997412981	Barthea17136|Barthea36791|Barthea21131|Barthea21108	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0045548
respiratory burst involved in defense response	Gene Ontology	GO:0002679	4	16	0.158413128548	0.999997412981	Barthea09263|Barthea15258|Barthea24372|Barthea29596	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0002679
Golgi vesicle transport	Gene Ontology	GO:0048193	4	16	0.158413128548	0.999997412981	Barthea10429|Barthea29213|Barthea07731|Barthea44719	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0048193
chloroplast mRNA processing	Gene Ontology	GO:0010239	4	16	0.158413128548	0.999997412981	Barthea29257|Barthea29398|Barthea46213|Barthea46250	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010239
3-hydroxyisobutyryl-CoA hydrolase activity	Gene Ontology	GO:0003860	4	16	0.158413128548	0.999997412981	Barthea24949|Barthea10424|Barthea10426|Barthea10427	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003860
response to cisplatin	Gene Ontology	GO:0072718	4	16	0.158413128548	0.999997412981	Barthea20957|Barthea20955|Barthea21003|Barthea21026	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0072718
actin monomer binding	Gene Ontology	GO:0003785	4	16	0.158413128548	0.999997412981	Barthea46342|Barthea35314|Barthea10284|Barthea07698	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003785
ammonia-lyase activity	Gene Ontology	GO:0016841	4	16	0.158413128548	0.999997412981	Barthea17136|Barthea36791|Barthea21131|Barthea21108	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016841
jasmonic acid mediated signaling pathway	Gene Ontology	GO:0009867	27	180	0.160796840434	0.999997412981	Barthea42553|Barthea36198|Barthea42706|Barthea33863|Barthea17864|Barthea03230|Barthea12464|Barthea40018|Barthea19790|Barthea36437|Barthea33837|Barthea08393|Barthea29619|Barthea39605|Barthea02499|Barthea17262|Barthea45453|Barthea22744|Barthea34192|Barthea31828|Barthea22934|Barthea42809|Barthea25043|Barthea29254|Barthea24221|Barthea24860|Barthea09159	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009867
apoplast	Gene Ontology	GO:0048046	80	591	0.162237610338	0.999997412981	Barthea07231|Barthea17565|Barthea10584|Barthea15070|Barthea12561|Barthea42766|Barthea35042|Barthea35190|Barthea09458|Barthea36924|Barthea04283|Barthea29382|Barthea28074|Barthea37725|Barthea24357|Barthea24356|Barthea24532|Barthea40812|Barthea44612|Barthea06196|Barthea07603|Barthea35227|Barthea42530|Barthea12041|Barthea12043|Barthea13815|Barthea27271|Barthea30419|Barthea44905|Barthea21307|Barthea42864|Barthea09332|Barthea26972|Barthea46120|Barthea42792|Barthea28809|Barthea11726|Barthea02015|Barthea21553|Barthea21897|Barthea35453|Barthea06353|Barthea11728|Barthea35266|Barthea43305|Barthea25582|Barthea33284|Barthea13848|Barthea12039|Barthea13555|Barthea09238|Barthea33892|Barthea20986|Barthea44627|Barthea17690|Barthea34889|Barthea13474|Barthea46217|Barthea12493|Barthea01195|Barthea15085|Barthea45298|Barthea04785|Barthea11949|Barthea21030|Barthea00007|Barthea08240|Barthea30384|Barthea20838|Barthea40723|Barthea41238|Barthea46117|Barthea46116|Barthea32614|Barthea08641|Barthea35271|Barthea20050|Barthea36179|Barthea08076|Barthea42829	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0048046
protein dimerization activity	Gene Ontology	GO:0046983	74	544	0.163080067253	0.999997412981	Barthea20957|Barthea08393|Barthea19357|Barthea25269|Barthea38509|Barthea34496|Barthea08389|Barthea02499|Barthea03232|Barthea39654|Barthea36729|Barthea17350|Barthea21414|Barthea24154|Barthea39739|Barthea41551|Barthea46261|Barthea46260|Barthea07750|Barthea17389|Barthea20738|Barthea42799|Barthea21003|Barthea36389|Barthea21241|Barthea31299|Barthea28773|Barthea21199|Barthea21026|Barthea36568|Barthea46389|Barthea36581|Barthea25083|Barthea46065|Barthea20903|Barthea19487|Barthea23260|Barthea22505|Barthea46285|Barthea39492|Barthea08677|Barthea31657|Barthea08758|Barthea13728|Barthea45453|Barthea12027|Barthea13760|Barthea31556|Barthea00964|Barthea14196|Barthea35989|Barthea01985|Barthea43788|Barthea38828|Barthea20955|Barthea34897|Barthea41050|Barthea12253|Barthea10617|Barthea26960|Barthea12012|Barthea40563|Barthea36294|Barthea38510|Barthea18210|Barthea03619|Barthea22996|Barthea37521|Barthea25770|Barthea29342|Barthea17742|Barthea09159|Barthea09948|Barthea36296	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0046983
regulation of abscisic acid biosynthetic process	Gene Ontology	GO:0010115	6	29	0.164711341029	0.999997412981	Barthea17232|Barthea10423|Barthea12017|Barthea17253|Barthea17229|Barthea12001	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010115
