##Databases: KEGG PATHWAY, Gene Ontology								
##Statistical test method: hypergeometric test / Fisher's exact test								
##FDR correction method: Benjamini and Hochberg								
								
#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
manganese ion binding	Gene Ontology	GO:0030145	6	139	0.00321251535803	0.0564013780182	Barthea29222|Barthea29223|Barthea20828|Barthea12154|Barthea20827|Barthea20825	http://amigo.geneontology.org/amigo/term/GO:0030145
inorganic phosphate transmembrane transporter activity	Gene Ontology	GO:0005315	4	58	0.00327241981468	0.0564013780182	Barthea22890|Barthea13817|Barthea13818|Barthea13819	http://amigo.geneontology.org/amigo/term/GO:0005315
alpha-ketoacid dehydrogenase activity	Gene Ontology	GO:0003826	2	7	0.00331349091806	0.0564013780182	Barthea29182|Barthea29181	http://amigo.geneontology.org/amigo/term/GO:0003826
mitochondrial alpha-ketoglutarate dehydrogenase complex	Gene Ontology	GO:0005947	2	7	0.00331349091806	0.0564013780182	Barthea29182|Barthea29181	http://amigo.geneontology.org/amigo/term/GO:0005947
3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity	Gene Ontology	GO:0003863	2	7	0.00331349091806	0.0564013780182	Barthea29182|Barthea29181	http://amigo.geneontology.org/amigo/term/GO:0003863
NADP binding	Gene Ontology	GO:0050661	5	100	0.00386948462402	0.0633142573619	Barthea29169|Barthea29168|Barthea29188|Barthea29170|Barthea29166	http://amigo.geneontology.org/amigo/term/GO:0050661
proteasomal protein catabolic process	Gene Ontology	GO:0010498	4	61	0.00388133378464	0.0633142573619	Barthea37782|Barthea22906|Barthea22904|Barthea22905	http://amigo.geneontology.org/amigo/term/GO:0010498
sucrose metabolic process	Gene Ontology	GO:0005985	4	62	0.00410020879557	0.064441067687	Barthea20988|Barthea22883|Barthea22903|Barthea20987	http://amigo.geneontology.org/amigo/term/GO:0005985
2-alkenal reductase (NADP+) activity	Gene Ontology	GO:0035798	2	8	0.00411501070798	0.064441067687	Barthea37786|Barthea37787	http://amigo.geneontology.org/amigo/term/GO:0035798
preprophase band	Gene Ontology	GO:0009574	4	65	0.00480651319136	0.0737941142909	Barthea20980|Barthea20992|Barthea20979|Barthea20972	http://amigo.geneontology.org/amigo/term/GO:0009574
naringenin-chalcone synthase activity	Gene Ontology	GO:0016210	2	10	0.00595743988413	0.0880127439486	Barthea13806|Barthea13805	http://amigo.geneontology.org/amigo/term/GO:0016210
chalcone biosynthetic process	Gene Ontology	GO:0009715	2	10	0.00595743988413	0.0880127439486	Barthea13806|Barthea13805	http://amigo.geneontology.org/amigo/term/GO:0009715
chloroplast rRNA processing	Gene Ontology	GO:1901259	3	36	0.00662538627359	0.0944335281448	Barthea20850|Barthea29239|Barthea29238	http://amigo.geneontology.org/amigo/term/GO:1901259
ubiquitin-like protein binding	Gene Ontology	GO:0032182	2	11	0.00699507615887	0.0944335281448	Barthea39506|Barthea25100	http://amigo.geneontology.org/amigo/term/GO:0032182
positive regulation of ubiquitin-protein transferase activity	Gene Ontology	GO:0051443	2	11	0.00699507615887	0.0944335281448	Barthea39506|Barthea25100	http://amigo.geneontology.org/amigo/term/GO:0051443
regulation of carbohydrate biosynthetic process	Gene Ontology	GO:0043255	2	11	0.00699507615887	0.0944335281448	Barthea22889|Barthea41238	http://amigo.geneontology.org/amigo/term/GO:0043255
branched-chain amino acid catabolic process	Gene Ontology	GO:0009083	2	11	0.00699507615887	0.0944335281448	Barthea29182|Barthea29181	http://amigo.geneontology.org/amigo/term/GO:0009083
DNA-templated transcription, termination	Gene Ontology	GO:0006353	2	12	0.00810818534715	0.107605239438	Barthea29239|Barthea29238	http://amigo.geneontology.org/amigo/term/GO:0006353
proteasome complex	Gene Ontology	GO:0000502	5	121	0.00828850121489	0.108164940854	Barthea37782|Barthea22906|Barthea12188|Barthea22904|Barthea22905	http://amigo.geneontology.org/amigo/term/GO:0000502
structural constituent of ribosome	Gene Ontology	GO:0003735	11	473	0.0090202115475	0.108628876396	Barthea41254|Barthea20969|Barthea13810|Barthea20993|Barthea30114|Barthea22833|Barthea30106|Barthea30122|Barthea30099|Barthea20971|Barthea20970	http://amigo.geneontology.org/amigo/term/GO:0003735
ceramide 1-phosphate binding	Gene Ontology	GO:1902387	2	13	0.00929519121137	0.108628876396	Barthea13824|Barthea29172	http://amigo.geneontology.org/amigo/term/GO:1902387
intermembrane lipid transfer	Gene Ontology	GO:0120009	2	13	0.00929519121137	0.108628876396	Barthea13824|Barthea29172	http://amigo.geneontology.org/amigo/term/GO:0120009
ceramide 1-phosphate transfer activity	Gene Ontology	GO:1902388	2	13	0.00929519121137	0.108628876396	Barthea13824|Barthea29172	http://amigo.geneontology.org/amigo/term/GO:1902388
chlorophyll metabolic process	Gene Ontology	GO:0015994	2	13	0.00929519121137	0.108628876396	Barthea41265|Barthea22844	http://amigo.geneontology.org/amigo/term/GO:0015994
enone reductase activity	Gene Ontology	GO:0035671	2	13	0.00929519121137	0.108628876396	Barthea37786|Barthea37787	http://amigo.geneontology.org/amigo/term/GO:0035671
ceramide transport	Gene Ontology	GO:0035627	2	13	0.00929519121137	0.108628876396	Barthea13824|Barthea29172	http://amigo.geneontology.org/amigo/term/GO:0035627
protein dimerization activity	Gene Ontology	GO:0046983	12	544	0.00962374534367	0.110183962905	Barthea21011|Barthea21010|Barthea20955|Barthea20961|Barthea21002|Barthea21003|Barthea20957|Barthea21007|Barthea25083|Barthea21005|Barthea22894|Barthea13796	http://amigo.geneontology.org/amigo/term/GO:0046983
plant-type hypersensitive response	Gene Ontology	GO:0009626	5	126	0.00970969788056	0.110183962905	Barthea20993|Barthea20969|Barthea20971|Barthea20970|Barthea25056	http://amigo.geneontology.org/amigo/term/GO:0009626
phosphate ion transmembrane transporter activity	Gene Ontology	GO:0015114	3	42	0.00985186551575	0.11020015284	Barthea13817|Barthea13818|Barthea13819	http://amigo.geneontology.org/amigo/term/GO:0015114
response to gravity	Gene Ontology	GO:0009629	2	15	0.01188470551	0.125753032626	Barthea13806|Barthea13805	http://amigo.geneontology.org/amigo/term/GO:0009629
chloroplast mRNA processing	Gene Ontology	GO:0010239	2	16	0.0132841780387	0.138686818724	Barthea29239|Barthea29238	http://amigo.geneontology.org/amigo/term/GO:0010239
chloroplast nucleoid	Gene Ontology	GO:0042644	4	89	0.0135206117797	0.139297881888	Barthea20993|Barthea20969|Barthea20971|Barthea20970	http://amigo.geneontology.org/amigo/term/GO:0042644
ribosome	Gene Ontology	GO:0005840	4	92	0.0150373044386	0.150951402249	Barthea30122|Barthea13810|Barthea22833|Barthea30106	http://amigo.geneontology.org/amigo/term/GO:0005840
endopeptidase activity	Gene Ontology	GO:0004175	4	92	0.0150373044386	0.150951402249	Barthea37782|Barthea22906|Barthea22904|Barthea22905	http://amigo.geneontology.org/amigo/term/GO:0004175
ubiquitin ligase complex	Gene Ontology	GO:0000151	4	94	0.0161056514415	0.159629431376	Barthea39506|Barthea25100|Barthea25098|Barthea39501	http://amigo.geneontology.org/amigo/term/GO:0000151
pectin catabolic process	Gene Ontology	GO:0045490	5	145	0.0166247302713	0.16271454753	Barthea20838|Barthea41232|Barthea22881|Barthea41274|Barthea20986	http://amigo.geneontology.org/amigo/term/GO:0045490
rRNA binding	Gene Ontology	GO:0019843	3	52	0.0169532616608	0.163881529387	Barthea29239|Barthea13810|Barthea29238	http://amigo.geneontology.org/amigo/term/GO:0019843
proteolysis involved in cellular protein catabolic process	Gene Ontology	GO:0051603	4	101	0.0202143307304	0.193022206852	Barthea22906|Barthea41261|Barthea22904|Barthea22905	http://amigo.geneontology.org/amigo/term/GO:0051603
protein neddylation	Gene Ontology	GO:0045116	2	21	0.0212700038349	0.198719191746	Barthea39506|Barthea25100	http://amigo.geneontology.org/amigo/term/GO:0045116
flavin adenine dinucleotide binding	Gene Ontology	GO:0050660	5	155	0.0213185339804	0.198719191746	Barthea29169|Barthea29168|Barthea29188|Barthea29170|Barthea29166	http://amigo.geneontology.org/amigo/term/GO:0050660
RNA binding	Gene Ontology	GO:0003723	14	759	0.0219690145182	0.202373392562	Barthea13825|Barthea39507|Barthea20850|Barthea22855|Barthea39520|Barthea39522|Barthea20969|Barthea13803|Barthea37803|Barthea22836|Barthea12177|Barthea20971|Barthea20970|Barthea20993	http://amigo.geneontology.org/amigo/term/GO:0003723
preribosome, small subunit precursor	Gene Ontology	GO:0030688	2	22	0.0230549363031	0.20990715262	Barthea20845|Barthea20846	http://amigo.geneontology.org/amigo/term/GO:0030688
maturation of SSU-rRNA	Gene Ontology	GO:0030490	2	23	0.0248992491318	0.224093242186	Barthea20845|Barthea20846	http://amigo.geneontology.org/amigo/term/GO:0030490
cellular response to salt stress	Gene Ontology	GO:0071472	3	62	0.0262818565501	0.231221277289	Barthea20963|Barthea20973|Barthea21000	http://amigo.geneontology.org/amigo/term/GO:0071472
catalytic step 2 spliceosome	Gene Ontology	GO:0071013	3	62	0.0262818565501	0.231221277289	Barthea39520|Barthea39522|Barthea37803	http://amigo.geneontology.org/amigo/term/GO:0071013
cytosolic small ribosomal subunit	Gene Ontology	GO:0022627	5	165	0.0268004308567	0.233163748453	Barthea20993|Barthea20971|Barthea20969|Barthea13810|Barthea20970	http://amigo.geneontology.org/amigo/term/GO:0022627
cullin family protein binding	Gene Ontology	GO:0097602	2	25	0.0287607023924	0.244778586666	Barthea39506|Barthea25100	http://amigo.geneontology.org/amigo/term/GO:0097602
phragmoplast	Gene Ontology	GO:0009524	5	170	0.0298486643524	0.251306496644	Barthea20980|Barthea20831|Barthea20992|Barthea20979|Barthea20972	http://amigo.geneontology.org/amigo/term/GO:0009524
flower development	Gene Ontology	GO:0009908	6	235	0.0326129530175	0.265121690458	Barthea22903|Barthea41266|Barthea41267|Barthea29233|Barthea22883|Barthea20988	http://amigo.geneontology.org/amigo/term/GO:0009908
myosin XI tail binding	Gene Ontology	GO:0080115	2	27	0.0328439386646	0.265121690458	Barthea41233|Barthea12184	http://amigo.geneontology.org/amigo/term/GO:0080115
regulation of anthocyanin biosynthetic process	Gene Ontology	GO:0031540	2	28	0.034965554607	0.279367645482	Barthea13806|Barthea13805	http://amigo.geneontology.org/amigo/term/GO:0031540
SAGA complex	Gene Ontology	GO:0000124	2	29	0.0371388502319	0.290797197316	Barthea22909|Barthea39530	http://amigo.geneontology.org/amigo/term/GO:0000124
positive regulation of cell division	Gene Ontology	GO:0051781	2	29	0.0371388502319	0.290797197316	Barthea41266|Barthea41267	http://amigo.geneontology.org/amigo/term/GO:0051781
spindle	Gene Ontology	GO:0005819	4	125	0.0388717603755	0.301352360139	Barthea20980|Barthea20992|Barthea20979|Barthea20972	http://amigo.geneontology.org/amigo/term/GO:0005819
ubiquitin conjugating enzyme binding	Gene Ontology	GO:0031624	2	31	0.0416356382416	0.311276542915	Barthea39506|Barthea25100	http://amigo.geneontology.org/amigo/term/GO:0031624
histone-lysine N-methyltransferase activity	Gene Ontology	GO:0018024	2	31	0.0416356382416	0.311276542915	Barthea29177|Barthea37784	http://amigo.geneontology.org/amigo/term/GO:0018024
phosphatidylcholine metabolic process	Gene Ontology	GO:0046470	2	31	0.0416356382416	0.311276542915	Barthea25073|Barthea25077	http://amigo.geneontology.org/amigo/term/GO:0046470
protein transport	Gene Ontology	GO:0015031	3	75	0.0417420651419	0.311276542915	Barthea25082|Barthea25081|Barthea29247	http://amigo.geneontology.org/amigo/term/GO:0015031
proteasome-mediated ubiquitin-dependent protein catabolic process	Gene Ontology	GO:0043161	5	190	0.0441704335594	0.323228499785	Barthea37782|Barthea22906|Barthea12188|Barthea22904|Barthea22905	http://amigo.geneontology.org/amigo/term/GO:0043161
regulation of flower development	Gene Ontology	GO:0009909	5	191	0.0449776936816	0.326088279192	Barthea20988|Barthea22883|Barthea37796|Barthea39526|Barthea22903	http://amigo.geneontology.org/amigo/term/GO:0009909
phosphorylation	Gene Ontology	GO:0016310	6	260	0.0486397186601	0.343805012553	Barthea39505|Barthea29246|Barthea39551|Barthea25076|Barthea25084|Barthea12147	http://amigo.geneontology.org/amigo/term/GO:0016310
leaf shaping	Gene Ontology	GO:0010358	2	34	0.0487386416263	0.343805012553	Barthea25073|Barthea29233	http://amigo.geneontology.org/amigo/term/GO:0010358
phosphate ion transport	Gene Ontology	GO:0006817	2	34	0.0487386416263	0.343805012553	Barthea13817|Barthea22851	http://amigo.geneontology.org/amigo/term/GO:0006817
glucosinolate metabolic process	Gene Ontology	GO:0019760	3	82	0.0515830486366	0.360620777522	Barthea20998|Barthea20995|Barthea20964	http://amigo.geneontology.org/amigo/term/GO:0019760
DNA recombination	Gene Ontology	GO:0006310	2	37	0.0562437352417	0.363362966411	Barthea12167|Barthea12166	http://amigo.geneontology.org/amigo/term/GO:0006310
sulfite oxidase activity	Gene Ontology	GO:0008482	1	5	0.0575370570109	0.363362966411	Barthea22844	http://amigo.geneontology.org/amigo/term/GO:0008482
protein O-GlcNAc transferase activity	Gene Ontology	GO:0097363	1	5	0.0575370570109	0.363362966411	Barthea41236	http://amigo.geneontology.org/amigo/term/GO:0097363
neutral amino acid transmembrane transporter activity	Gene Ontology	GO:0015175	1	5	0.0575370570109	0.363362966411	Barthea12169	http://amigo.geneontology.org/amigo/term/GO:0015175
core promoter sequence-specific DNA binding	Gene Ontology	GO:0001046	1	5	0.0575370570109	0.363362966411	Barthea22894	http://amigo.geneontology.org/amigo/term/GO:0001046
glycerol-3-phosphate biosynthetic process	Gene Ontology	GO:0046167	1	5	0.0575370570109	0.363362966411	Barthea25084	http://amigo.geneontology.org/amigo/term/GO:0046167
regulation of histone H3-K9 dimethylation	Gene Ontology	GO:1900109	1	5	0.0575370570109	0.363362966411	Barthea37784	http://amigo.geneontology.org/amigo/term/GO:1900109
fatty acid oxidation	Gene Ontology	GO:0019395	1	5	0.0575370570109	0.363362966411	Barthea41244	http://amigo.geneontology.org/amigo/term/GO:0019395
zygote asymmetric cytokinesis in embryo sac	Gene Ontology	GO:0010069	1	5	0.0575370570109	0.363362966411	Barthea41248	http://amigo.geneontology.org/amigo/term/GO:0010069
aspartate kinase activity	Gene Ontology	GO:0004072	1	5	0.0575370570109	0.363362966411	Barthea12181	http://amigo.geneontology.org/amigo/term/GO:0004072
response to sulfur dioxide	Gene Ontology	GO:0010477	1	5	0.0575370570109	0.363362966411	Barthea22844	http://amigo.geneontology.org/amigo/term/GO:0010477
cytokinesis by cell plate formation	Gene Ontology	GO:0000911	4	143	0.0576499292096	0.363362966411	Barthea20980|Barthea20992|Barthea20979|Barthea20972	http://amigo.geneontology.org/amigo/term/GO:0000911
succinate-CoA ligase (GDP-forming) activity	Gene Ontology	GO:0004776	1	6	0.066800198264	0.363362966411	Barthea13823	http://amigo.geneontology.org/amigo/term/GO:0004776
response to phenylalanine	Gene Ontology	GO:0080053	1	6	0.066800198264	0.363362966411	Barthea29250	http://amigo.geneontology.org/amigo/term/GO:0080053
tRNA wobble adenosine to inosine editing	Gene Ontology	GO:0002100	1	6	0.066800198264	0.363362966411	Barthea20844	http://amigo.geneontology.org/amigo/term/GO:0002100
diacylglycerol cholinephosphotransferase activity	Gene Ontology	GO:0004142	1	6	0.066800198264	0.363362966411	Barthea25077	http://amigo.geneontology.org/amigo/term/GO:0004142
phosphoglycerate dehydrogenase activity	Gene Ontology	GO:0004617	1	6	0.066800198264	0.363362966411	Barthea39533	http://amigo.geneontology.org/amigo/term/GO:0004617
homoserine biosynthetic process	Gene Ontology	GO:0009090	1	6	0.066800198264	0.363362966411	Barthea12181	http://amigo.geneontology.org/amigo/term/GO:0009090
transport of virus in multicellular host	Gene Ontology	GO:0046739	1	6	0.066800198264	0.363362966411	Barthea41257	http://amigo.geneontology.org/amigo/term/GO:0046739
cellular amino acid biosynthetic process	Gene Ontology	GO:0008652	1	6	0.066800198264	0.363362966411	Barthea12181	http://amigo.geneontology.org/amigo/term/GO:0008652
response to histidine	Gene Ontology	GO:0080052	1	6	0.066800198264	0.363362966411	Barthea29250	http://amigo.geneontology.org/amigo/term/GO:0080052
symbiotic process	Gene Ontology	GO:0044403	1	6	0.066800198264	0.363362966411	Barthea20837	http://amigo.geneontology.org/amigo/term/GO:0044403
farnesyl diphosphate biosynthetic process, mevalonate pathway	Gene Ontology	GO:0010142	1	6	0.066800198264	0.363362966411	Barthea20967	http://amigo.geneontology.org/amigo/term/GO:0010142
succinate-CoA ligase (ADP-forming) activity	Gene Ontology	GO:0004775	1	6	0.066800198264	0.363362966411	Barthea13823	http://amigo.geneontology.org/amigo/term/GO:0004775
molybdopterin cofactor binding	Gene Ontology	GO:0043546	1	6	0.066800198264	0.363362966411	Barthea22844	http://amigo.geneontology.org/amigo/term/GO:0043546
vacuolar proton-transporting V-type ATPase, V1 domain	Gene Ontology	GO:0000221	1	6	0.066800198264	0.363362966411	Barthea22889	http://amigo.geneontology.org/amigo/term/GO:0000221
translation repressor activity	Gene Ontology	GO:0030371	1	6	0.066800198264	0.363362966411	Barthea20831	http://amigo.geneontology.org/amigo/term/GO:0030371
tRNA-specific adenosine-34 deaminase complex	Gene Ontology	GO:0052718	1	6	0.066800198264	0.363362966411	Barthea20844	http://amigo.geneontology.org/amigo/term/GO:0052718
tRNA-specific adenosine-34 deaminase activity	Gene Ontology	GO:0052717	1	6	0.066800198264	0.363362966411	Barthea20844	http://amigo.geneontology.org/amigo/term/GO:0052717
response to leucine	Gene Ontology	GO:0043201	1	6	0.066800198264	0.363362966411	Barthea29250	http://amigo.geneontology.org/amigo/term/GO:0043201
inflorescence development	Gene Ontology	GO:0010229	2	41	0.0668253731331	0.363362966411	Barthea29233|Barthea25056	http://amigo.geneontology.org/amigo/term/GO:0010229
phosphatidylinositol binding	Gene Ontology	GO:0035091	3	92	0.067387262896	0.363891219639	Barthea25082|Barthea25081|Barthea41263	http://amigo.geneontology.org/amigo/term/GO:0035091
endonuclease activity	Gene Ontology	GO:0004519	2	43	0.0723439360318	0.372021972318	Barthea12167|Barthea12166	http://amigo.geneontology.org/amigo/term/GO:0004519
seryl-tRNA aminoacylation	Gene Ontology	GO:0006434	1	7	0.0759725136003	0.372021972318	Barthea22830	http://amigo.geneontology.org/amigo/term/GO:0006434
nucleotide phosphorylation	Gene Ontology	GO:0046939	1	7	0.0759725136003	0.372021972318	Barthea22837	http://amigo.geneontology.org/amigo/term/GO:0046939
positive regulation of ethylene biosynthetic process	Gene Ontology	GO:0010365	1	7	0.0759725136003	0.372021972318	Barthea25056	http://amigo.geneontology.org/amigo/term/GO:0010365
messenger ribonucleoprotein complex	Gene Ontology	GO:1990124	1	7	0.0759725136003	0.372021972318	Barthea20836	http://amigo.geneontology.org/amigo/term/GO:1990124
selenocysteinyl-tRNA(Sec) biosynthetic process	Gene Ontology	GO:0097056	1	7	0.0759725136003	0.372021972318	Barthea22830	http://amigo.geneontology.org/amigo/term/GO:0097056
microsporocyte differentiation	Gene Ontology	GO:0010480	1	7	0.0759725136003	0.372021972318	Barthea12145	http://amigo.geneontology.org/amigo/term/GO:0010480
mannose-ethanolamine phosphotransferase activity	Gene Ontology	GO:0051377	1	7	0.0759725136003	0.372021972318	Barthea37797	http://amigo.geneontology.org/amigo/term/GO:0051377
nucleoside diphosphate metabolic process	Gene Ontology	GO:0009132	1	7	0.0759725136003	0.372021972318	Barthea22837	http://amigo.geneontology.org/amigo/term/GO:0009132
positive regulation of cytoplasmic mRNA processing body assembly	Gene Ontology	GO:0010606	1	7	0.0759725136003	0.372021972318	Barthea20836	http://amigo.geneontology.org/amigo/term/GO:0010606
selenium compound metabolic process	Gene Ontology	GO:0001887	1	7	0.0759725136003	0.372021972318	Barthea12182	http://amigo.geneontology.org/amigo/term/GO:0001887
serine-tRNA ligase activity	Gene Ontology	GO:0004828	1	7	0.0759725136003	0.372021972318	Barthea22830	http://amigo.geneontology.org/amigo/term/GO:0004828
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	Gene Ontology	GO:0043328	1	7	0.0759725136003	0.372021972318	Barthea25067	http://amigo.geneontology.org/amigo/term/GO:0043328
anther development	Gene Ontology	GO:0048653	3	97	0.0760198155439	0.372021972318	Barthea29177|Barthea12145|Barthea22842	http://amigo.geneontology.org/amigo/term/GO:0048653
protein self-association	Gene Ontology	GO:0043621	4	160	0.0790942895984	0.378397613603	Barthea20975|Barthea39507|Barthea29239|Barthea29238	http://amigo.geneontology.org/amigo/term/GO:0043621
floral organ abscission	Gene Ontology	GO:0010227	2	46	0.080884277657	0.378397613603	Barthea20838|Barthea25056	http://amigo.geneontology.org/amigo/term/GO:0010227
oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor	Gene Ontology	GO:0016671	2	46	0.080884277657	0.378397613603	Barthea39558|Barthea37775	http://amigo.geneontology.org/amigo/term/GO:0016671
positive regulation of histone methylation	Gene Ontology	GO:0031062	1	8	0.0850548914356	0.378397613603	Barthea29177	http://amigo.geneontology.org/amigo/term/GO:0031062
stigma development	Gene Ontology	GO:0048480	1	8	0.0850548914356	0.378397613603	Barthea22842	http://amigo.geneontology.org/amigo/term/GO:0048480
succinyl-CoA metabolic process	Gene Ontology	GO:0006104	1	8	0.0850548914356	0.378397613603	Barthea13823	http://amigo.geneontology.org/amigo/term/GO:0006104
tRNA-specific adenosine deaminase activity	Gene Ontology	GO:0008251	1	8	0.0850548914356	0.378397613603	Barthea20844	http://amigo.geneontology.org/amigo/term/GO:0008251
arsenate ion transmembrane transporter activity	Gene Ontology	GO:1901683	1	8	0.0850548914356	0.378397613603	Barthea13818	http://amigo.geneontology.org/amigo/term/GO:1901683
nectary development	Gene Ontology	GO:0010254	1	8	0.0850548914356	0.378397613603	Barthea13822	http://amigo.geneontology.org/amigo/term/GO:0010254
ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	Gene Ontology	GO:0004748	1	8	0.0850548914356	0.378397613603	Barthea22848	http://amigo.geneontology.org/amigo/term/GO:0004748
rDNA protrusion	Gene Ontology	GO:0030875	1	8	0.0850548914356	0.378397613603	Barthea29176	http://amigo.geneontology.org/amigo/term/GO:0030875
negative regulation of sinapate ester biosynthetic process	Gene Ontology	GO:1903086	1	8	0.0850548914356	0.378397613603	Barthea29229	http://amigo.geneontology.org/amigo/term/GO:1903086
DNA (cytosine-5-)-methyltransferase activity	Gene Ontology	GO:0003886	1	8	0.0850548914356	0.378397613603	Barthea41248	http://amigo.geneontology.org/amigo/term/GO:0003886
transcription factor TFIIH core complex	Gene Ontology	GO:0000439	1	8	0.0850548914356	0.378397613603	Barthea41268	http://amigo.geneontology.org/amigo/term/GO:0000439
protein body	Gene Ontology	GO:0042735	1	8	0.0850548914356	0.378397613603	Barthea13822	http://amigo.geneontology.org/amigo/term/GO:0042735
deoxyribonucleotide biosynthetic process	Gene Ontology	GO:0009263	1	8	0.0850548914356	0.378397613603	Barthea22848	http://amigo.geneontology.org/amigo/term/GO:0009263
negative regulation of flower development	Gene Ontology	GO:0009910	3	103	0.0869839449815	0.384793383732	Barthea29177|Barthea41248|Barthea41236	http://amigo.geneontology.org/amigo/term/GO:0009910
cell wall modification	Gene Ontology	GO:0042545	3	104	0.0888730236044	0.389628304854	Barthea41232|Barthea41274|Barthea20986	http://amigo.geneontology.org/amigo/term/GO:0042545
negative regulation of translation	Gene Ontology	GO:0017148	2	49	0.0897170715415	0.389628304854	Barthea22833|Barthea20836	http://amigo.geneontology.org/amigo/term/GO:0017148
amino acid binding	Gene Ontology	GO:0016597	2	50	0.0927220991286	0.389628304854	Barthea29184|Barthea22853	http://amigo.geneontology.org/amigo/term/GO:0016597
DNA methylation on cytosine within a CG sequence	Gene Ontology	GO:0010424	1	9	0.0940482115165	0.389628304854	Barthea41248	http://amigo.geneontology.org/amigo/term/GO:0010424
basal plasma membrane	Gene Ontology	GO:0009925	1	9	0.0940482115165	0.389628304854	Barthea29233	http://amigo.geneontology.org/amigo/term/GO:0009925
uridine kinase activity	Gene Ontology	GO:0004849	1	9	0.0940482115165	0.389628304854	Barthea22838	http://amigo.geneontology.org/amigo/term/GO:0004849
histone methyltransferase activity (H3-K36 specific)	Gene Ontology	GO:0046975	1	9	0.0940482115165	0.389628304854	Barthea29177	http://amigo.geneontology.org/amigo/term/GO:0046975
COPII-coated vesicle cargo loading	Gene Ontology	GO:0090110	1	9	0.0940482115165	0.389628304854	Barthea41270	http://amigo.geneontology.org/amigo/term/GO:0090110
CTP salvage	Gene Ontology	GO:0044211	1	9	0.0940482115165	0.389628304854	Barthea22838	http://amigo.geneontology.org/amigo/term/GO:0044211
triglyceride metabolic process	Gene Ontology	GO:0006641	1	9	0.0940482115165	0.389628304854	Barthea25084	http://amigo.geneontology.org/amigo/term/GO:0006641
arsenate ion transmembrane transport	Gene Ontology	GO:1901684	1	9	0.0940482115165	0.389628304854	Barthea13818	http://amigo.geneontology.org/amigo/term/GO:1901684
acetyl-CoA C-acyltransferase activity	Gene Ontology	GO:0003988	1	9	0.0940482115165	0.389628304854	Barthea41244	http://amigo.geneontology.org/amigo/term/GO:0003988
auxin polar transport	Gene Ontology	GO:0009926	3	109	0.0985720279705	0.406220515268	Barthea13806|Barthea13805|Barthea29233	http://amigo.geneontology.org/amigo/term/GO:0009926
response to ethylene	Gene Ontology	GO:0009723	6	316	0.0995832426929	0.408239157217	Barthea29170|Barthea29188|Barthea29169|Barthea29168|Barthea29166|Barthea20838	http://amigo.geneontology.org/amigo/term/GO:0009723
plastid nucleoid	Gene Ontology	GO:0042646	1	10	0.102953345005	0.409200350958	Barthea20850	http://amigo.geneontology.org/amigo/term/GO:0042646
style development	Gene Ontology	GO:0048479	1	10	0.102953345005	0.409200350958	Barthea13822	http://amigo.geneontology.org/amigo/term/GO:0048479
regulation of establishment or maintenance of cell polarity regulating cell shape	Gene Ontology	GO:2000769	1	10	0.102953345005	0.409200350958	Barthea41233	http://amigo.geneontology.org/amigo/term/GO:2000769
regulation of defense response to virus by host	Gene Ontology	GO:0050691	1	10	0.102953345005	0.409200350958	Barthea39509	http://amigo.geneontology.org/amigo/term/GO:0050691
RNA polymerase II, holoenzyme	Gene Ontology	GO:0016591	1	10	0.102953345005	0.409200350958	Barthea22858	http://amigo.geneontology.org/amigo/term/GO:0016591
molybdenum ion binding	Gene Ontology	GO:0030151	1	10	0.102953345005	0.409200350958	Barthea22844	http://amigo.geneontology.org/amigo/term/GO:0030151
pectinesterase activity	Gene Ontology	GO:0030599	3	113	0.106624331826	0.412815160478	Barthea41232|Barthea41274|Barthea20986	http://amigo.geneontology.org/amigo/term/GO:0030599
auxin metabolic process	Gene Ontology	GO:0009850	2	55	0.108164149901	0.412815160478	Barthea22907|Barthea22831	http://amigo.geneontology.org/amigo/term/GO:0009850
leaf formation	Gene Ontology	GO:0010338	1	11	0.111771154561	0.412815160478	Barthea29233	http://amigo.geneontology.org/amigo/term/GO:0010338
cellular response to glucose stimulus	Gene Ontology	GO:0071333	1	11	0.111771154561	0.412815160478	Barthea13796	http://amigo.geneontology.org/amigo/term/GO:0071333
mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	Gene Ontology	GO:0004571	1	11	0.111771154561	0.412815160478	Barthea39535	http://amigo.geneontology.org/amigo/term/GO:0004571
ubiquitin ligase activator activity	Gene Ontology	GO:1990757	1	11	0.111771154561	0.412815160478	Barthea29242	http://amigo.geneontology.org/amigo/term/GO:1990757
positive regulation of ubiquitin protein ligase activity	Gene Ontology	GO:1904668	1	11	0.111771154561	0.412815160478	Barthea29242	http://amigo.geneontology.org/amigo/term/GO:1904668
L-serine biosynthetic process	Gene Ontology	GO:0006564	1	11	0.111771154561	0.412815160478	Barthea39533	http://amigo.geneontology.org/amigo/term/GO:0006564
cytochrome b6f complex assembly	Gene Ontology	GO:0010190	1	11	0.111771154561	0.412815160478	Barthea37775	http://amigo.geneontology.org/amigo/term/GO:0010190
