Jukes/Cantor and Kimura subsitution levels adjusted for CpG sites
=================================================================
File: bar.genome.fa.align
Weighted average Kimura divergence for each repeat family
Class	Repeat	absLen	wellCharLen	Kimura%
LTR/Gypsy	TE_00000758_INT	51116	49276	22.09
LTR/Gypsy	TE_00000760_INT	46142	45473	25.50
LTR/Gypsy	TE_00000762_LTR	2058	2024	6.06
LTR/Gypsy	TE_00000764_LTR	1438	1388	7.66
LTR/Gypsy	TE_00000765_LTR	20630	20018	8.90
LTR/Gypsy	TE_00000766_INT	23100	22717	10.29
LTR/Gypsy	TE_00000767_INT	31021	30488	21.60
LTR/Gypsy	TE_00000768_INT	74331	73367	22.07
LTR/Gypsy	TE_00000772_INT	1098	1097	5.53
LTR/Gypsy	TE_00000773_LTR	149771	143078	14.99
LTR/Gypsy	TE_00000779_LTR	298	298	5.16
LTR/Gypsy	TE_00000780_LTR	2162	2145	10.39
LTR/Gypsy	TE_00000784_LTR	60709	59011	17.25
LTR/Gypsy	TE_00000786_INT	37774	37650	23.83
LTR/Gypsy	TE_00000789_INT	5624	5619	12.17
LTR/Gypsy	TE_00000791_LTR	311550	304868	15.25
LTR/Gypsy	TE_00000792_INT	182375	180717	19.50
LTR/Gypsy	TE_00000796_INT	26925	26617	28.32
LTR/Gypsy	TE_00000799_LTR	6084	5894	18.89
LTR/Gypsy	TE_00000802_LTR	1014	978	17.14
LTR/Gypsy	TE_00000803_INT	785851	775295	18.11
LTR/Gypsy	TE_00000804_LTR	2636	2609	7.25
LTR/Gypsy	TE_00000807_INT	15547	15474	11.77
LTR/Gypsy	TE_00000809_INT	11490	10950	13.97
LTR/Gypsy	TE_00000810_LTR	62202	61783	21.75
LTR/Gypsy	TE_00000813_LTR	3633	3489	14.29
LTR/Gypsy	TE_00000818_INT	36634	36073	20.87
LTR/Gypsy	TE_00000819_INT	23518	23420	19.41
LTR/Gypsy	TE_00000820_LTR	34458	33428	14.93
LTR/Gypsy	TE_00000831_LTR	4470	4355	16.94
LTR/Gypsy	TE_00000835_LTR	334904	298313	19.95
LTR/Gypsy	TE_00000837_INT	84588	84069	7.65
LTR/Gypsy	TE_00000841_LTR	154946	150809	14.31
LTR/Gypsy	TE_00000842_LTR	1619	1587	4.95
LTR/Gypsy	TE_00000845_LTR	3677	3657	11.49
LTR/Gypsy	TE_00000848_INT	1589	1488	4.09
LTR/Gypsy	TE_00000849_LTR	246	246	7.36
LTR/Gypsy	TE_00000853_INT	54019	53456	26.73
LTR/Gypsy	TE_00000857_LTR	634	634	1.65
LTR/Gypsy	TE_00000858_LTR	3904	3839	17.46
LTR/Gypsy	TE_00000859_LTR	2183	2163	5.88
LTR/Gypsy	TE_00000861_INT	85576	81342	15.04
LTR/Gypsy	TE_00000868_INT	21316	21098	24.16
LTR/Gypsy	TE_00000869_LTR	5254	5117	19.06
LTR/Gypsy	TE_00000871_INT	33801	33512	21.78
LTR/Gypsy	TE_00000874_LTR	7553	7234	16.77
LTR/Gypsy	TE_00000878_INT	23575	23352	18.23
LTR/Gypsy	TE_00000880_INT	58547	58210	23.29
LTR/Gypsy	TE_00000883_INT	44082	43705	27.78
LTR/Gypsy	TE_00000884_INT	74819	74013	31.39
LTR/Gypsy	TE_00000886_INT	10385	10132	13.76
LTR/Gypsy	TE_00000887_LTR	3280	3219	17.02
LTR/Gypsy	TE_00000889_LTR	1045	1036	11.23
LTR/Gypsy	TE_00000895_LTR	6365	6050	22.17
LTR/Gypsy	TE_00000897_INT	585991	578347	13.72
LTR/Gypsy	TE_00000899_INT	545604	541613	13.96
LTR/Gypsy	TE_00000903_LTR	128802	125576	15.20
LTR/Gypsy	TE_00000904_INT	21158	20872	17.20
LTR/Gypsy	TE_00000905_INT	6856	6788	13.38
LTR/Gypsy	TE_00000906_LTR	3779	3363	15.76
LTR/Gypsy	TE_00000908_INT	166076	164997	4.29
LTR/Gypsy	TE_00000914_INT	58981	58634	18.47
LTR/Gypsy	TE_00000915_LTR	2670	2573	15.93
LTR/Gypsy	TE_00000919_LTR	1456	1452	3.72
LTR/Gypsy	TE_00000921_LTR	2478	2417	7.32
LTR/Gypsy	TE_00000923_INT	54351	53178	18.67
LTR/Gypsy	TE_00000924_LTR	40355	39724	6.61
LTR/Gypsy	TE_00000930_INT	22579	20926	14.31
LTR/Gypsy	TE_00000933_INT	2244	2219	26.93
LTR/Gypsy	TE_00000934_LTR	7696	7388	14.60
LTR/Gypsy	TE_00000935_INT	74842	74254	27.67
LTR/Gypsy	TE_00000937_LTR	4999	4811	14.05
LTR/Gypsy	TE_00000938_LTR	4368	4305	12.01
LTR/Gypsy	TE_00000941_LTR	6987	6785	16.20
LTR/Gypsy	TE_00000942_LTR	5029	4888	10.83
LTR/Gypsy	TE_00000943_LTR	445307	434686	19.92
LTR/Gypsy	TE_00000949_INT	437893	429107	22.28
LTR/Gypsy	TE_00000951_LTR	273837	265437	21.39
LTR/Gypsy	TE_00000952_INT	216363	214933	20.22
LTR/Gypsy	TE_00000957_INT	212406	208499	31.15
LTR/Gypsy	TE_00000960_INT	41123	40733	24.97
LTR/Gypsy	TE_00000969_INT	1402932	1374652	24.29
LTR/Gypsy	TE_00000970_INT	2077	2034	37.42
LTR/Gypsy	TE_00000972_INT	53087	52638	21.72
LTR/Gypsy	TE_00000979_LTR	3533	3398	15.57
LTR/Gypsy	TE_00000980_INT	1341071	1324470	13.97
LTR/Gypsy	TE_00000982_LTR	179830	174693	16.08
LTR/Gypsy	TE_00000983_LTR	2249	2193	15.06
LTR/Gypsy	TE_00000985_INT	54465	54265	26.15
LTR/Gypsy	TE_00000990_INT	61388	60350	15.70
LTR/Gypsy	TE_00000991_INT	98380	96973	27.69
LTR/Gypsy	TE_00000992_LTR	7157	7038	10.12
LTR/Gypsy	TE_00000997_LTR	84654	82271	19.91
LTR/Gypsy	TE_00000999_LTR	36669	35755	9.54
LTR/Gypsy	TE_00001000_INT	11441	11365	16.73
LTR/Gypsy	TE_00001004_LTR	1374	1321	12.95
LTR/Gypsy	TE_00001007_LTR	2881	2633	11.05
LTR/Gypsy	TE_00001008_LTR	6980	6789	17.87
LTR/Gypsy	TE_00001012_LTR	8809	8752	23.45
LTR/Gypsy	TE_00001015_LTR	2387	2349	7.66
LTR/Gypsy	TE_00001017_LTR	4963	4755	23.31
LTR/Gypsy	TE_00001020_INT	3888	3772	0.99
LTR/Gypsy	TE_00001021_LTR	1300	1271	7.69
LTR/Gypsy	TE_00001025_INT	26599	25613	23.18
LTR/Gypsy	TE_00001027_INT	62120	61831	24.94
LTR/Gypsy	TE_00001029_INT	1192	999	14.96
LTR/Gypsy	TE_00001030_INT	41863	41599	28.66
LTR/Gypsy	TE_00001031_INT	35987	35773	23.43
LTR/Gypsy	TE_00001035_LTR	105068	99534	18.28
LTR/Gypsy	TE_00001037_LTR	1176	1159	8.10
LTR/Gypsy	TE_00001038_LTR	27419	26811	11.44
LTR/Gypsy	TE_00001041_INT	27742	27563	18.45
LTR/Gypsy	TE_00001043_LTR	5004	4883	8.37
LTR/Gypsy	TE_00001044_LTR	97773	95669	15.64
LTR/Gypsy	TE_00001045_INT	9803	9771	12.42
LTR/Gypsy	TE_00001047_LTR	129702	121572	17.29
LTR/Gypsy	TE_00001050_INT	43931	43769	21.52
LTR/Gypsy	TE_00001053_INT	45252	44684	9.33
LTR/Gypsy	TE_00001054_INT	42228	42068	19.12
LTR/Gypsy	TE_00001055_INT	1174562	1148411	27.66
LTR/Gypsy	TE_00001056_LTR	958	951	1.79
LTR/Gypsy	TE_00001058_LTR	3831	3690	18.24
LTR/Gypsy	TE_00001063_LTR	3148	3094	19.20
LTR/Gypsy	TE_00001064_LTR	2091	2017	9.78
LTR/Gypsy	TE_00001067_INT	1513	1497	30.33
LTR/Gypsy	TE_00001076_LTR	2171	2152	11.22
LTR/Gypsy	TE_00001078_INT	16497	16372	3.01
LTR/Gypsy	TE_00001079_INT	469	467	18.71
LTR/Gypsy	TE_00001080_INT	1515926	1467831	21.74
LTR/unknown	TE_00000000	133094	128588	16.19
LTR/unknown	TE_00000055	21538	21104	14.84
LTR/unknown	TE_00000081	19237	19206	16.62
LTR/unknown	TE_00000112	5928	5777	13.01
LTR/unknown	TE_00000138	32690	31819	16.77
LTR/unknown	TE_00000139	35712	34913	18.07
LTR/unknown	TE_00000144	35034	33077	18.95
LTR/unknown	TE_00000148	61977	59637	15.79
LTR/unknown	TE_00000149	44297	43780	15.03
LTR/unknown	TE_00000162	79842	76925	14.01
LTR/unknown	TE_00000171	12899	12272	16.55
LTR/unknown	TE_00000178	79245	76110	23.70
LTR/unknown	TE_00000180	8289	7965	10.95
LTR/unknown	TE_00000190	5525	5507	12.09
LTR/unknown	TE_00000201	29682	29348	12.79
LTR/unknown	TE_00000225	73174	70921	20.31
LTR/unknown	TE_00000258	49248	47634	18.33
LTR/unknown	TE_00000264	21664	20675	26.61
LTR/unknown	TE_00000296	18974	18904	12.29
LTR/unknown	TE_00000394_INT	304128	293541	18.16
LTR/unknown	TE_00000501_INT	734	734	1.30
LTR/unknown	TE_00000529_INT	78330	76548	7.41
LTR/unknown	TE_00000545_INT	67088	66699	4.17
LTR/unknown	TE_00000552_INT	20509	19985	6.83
LTR/unknown	TE_00000609_INT	71347	69820	16.80
LTR/unknown	TE_00000636_LTR	7615	7365	27.33
LTR/unknown	TE_00000687_INT	28542	27952	17.80
LTR/unknown	TE_00000720_INT	8565	8443	10.90
LTR/unknown	TE_00000801_INT	168695	165973	29.11
LTR/unknown	TE_00000816_LTR	14937	14852	10.88
LTR/unknown	TE_00000824_LTR	428	428	4.26
LTR/unknown	TE_00000832_LTR	1668	1639	4.81
LTR/unknown	TE_00000846_INT	4784	4716	20.97
LTR/unknown	TE_00000862_INT	187431	181511	22.85
LTR/unknown	TE_00000881_INT	387011	372759	23.72
LTR/unknown	TE_00000913_LTR	2050	1959	15.84
LTR/unknown	TE_00000918_LTR	792	762	8.09
LTR/unknown	TE_00000929_LTR	27277	27049	5.52
LTR/unknown	TE_00000931_LTR	89335	83938	9.55
LTR/unknown	TE_00000971_LTR	291	207	11.69
LTR/unknown	TE_00001009_INT	21574	20211	19.51
MITE/DTA	TE_00000526	3298	3127	10.64
MITE/DTA	TE_00000527	34580	32063	23.50
MITE/DTA	TE_00000546	2419	2185	13.30
MITE/DTA	TE_00000582	5805	5322	21.15
MITE/DTA	TE_00000627	4718	4305	16.69
MITE/DTA	TE_00000638	268	218	4.89
MITE/DTA	TE_00000644	2966	2732	14.22
MITE/DTA	TE_00000651	4646	4622	14.38
MITE/DTA	TE_00000688	26494	26230	15.03
MITE/DTA	TE_00000710	410	401	7.72
MITE/DTA	TE_00000812	5211	4926	15.28
MITE/DTA	TE_00000839	5658	5091	13.15
MITE/DTA	TE_00000885	861	858	4.04
MITE/DTA	TE_00000928	2124	2048	16.30
MITE/DTA	TE_00000950	13620	13072	14.56
MITE/DTA	TE_00000959	129	121	-3.51
MITE/DTA	TE_00000981	4920	4495	15.53
MITE/DTA	TE_00001048	529	514	5.26
MITE/DTC	TE_00000487	439	424	12.41
MITE/DTH	TE_00000584	133	133	0.00
MITE/DTH	TE_00000633	919	671	13.16
MITE/DTH	TE_00000718	1122	1098	7.07
MITE/DTH	TE_00000795	87	87	-1.41
MITE/DTH	TE_00000829	526	525	10.58
MITE/DTH	TE_00001032	9869	8487	18.62
MITE/DTM	TE_00000483	781	780	3.69
MITE/DTM	TE_00000504	1040	1040	0.00
MITE/DTM	TE_00000536	101	96	4.45
MITE/DTM	TE_00000542	427	413	2.32
MITE/DTM	TE_00000544	195	183	18.12
MITE/DTM	TE_00000549	7650	6446	22.86
MITE/DTM	TE_00000550	5987	5868	24.07
MITE/DTM	TE_00000567	1003	986	20.41
MITE/DTM	TE_00000568	2584	2447	19.80
MITE/DTM	TE_00000571	545	524	9.99
MITE/DTM	TE_00000578	1383	1275	21.64
MITE/DTM	TE_00000579	12549	11031	18.75
MITE/DTM	TE_00000587	622	621	5.60
MITE/DTM	TE_00000589	96	96	0.00
MITE/DTM	TE_00000599	135	135	0.00
MITE/DTM	TE_00000601	38	34	6.13
MITE/DTM	TE_00000607	218	204	2.12
MITE/DTM	TE_00000624	150	109	9.96
MITE/DTM	TE_00000635	179	147	8.18
MITE/DTM	TE_00000642	15541	15229	28.11
MITE/DTM	TE_00000643	1423	1380	26.45
MITE/DTM	TE_00000645	26825	26439	20.16
MITE/DTM	TE_00000659	532	520	32.36
MITE/DTM	TE_00000669	3895	3343	21.90
MITE/DTM	TE_00000679	5493	5275	22.01
MITE/DTM	TE_00000704	240	233	15.77
MITE/DTM	TE_00000707	126	110	4.19
MITE/DTM	TE_00000709	908	726	2.87
MITE/DTM	TE_00000719	855	845	3.80
MITE/DTM	TE_00000721	40	37	23.38
MITE/DTM	TE_00000723	65	65	0.00
MITE/DTM	TE_00000725	207	195	5.18
MITE/DTM	TE_00000730	271	271	-3.11
MITE/DTM	TE_00000734	322	308	15.94
MITE/DTM	TE_00000744	10	10	-7.87
MITE/DTM	TE_00000753	30082	27480	22.76
MITE/DTM	TE_00000757	109	101	21.26
MITE/DTM	TE_00000763	4332	4161	23.09
MITE/DTM	TE_00000777	837	837	2.86
MITE/DTM	TE_00000785	4942	4793	25.64
MITE/DTM	TE_00000787	1033	790	7.92
MITE/DTM	TE_00000793	2714	2488	22.21
MITE/DTM	TE_00000800	80	80	5.18
MITE/DTM	TE_00000806	10361	9396	22.87
MITE/DTM	TE_00000838	568	529	20.60
MITE/DTM	TE_00000847	5748	5371	26.03
MITE/DTM	TE_00000850	4415	3803	19.88
MITE/DTM	TE_00000856	24	19	2.44
MITE/DTM	TE_00000865	46	31	12.88
MITE/DTM	TE_00000882	52836	51649	15.35
MITE/DTM	TE_00000910	322	277	6.78
MITE/DTM	TE_00000912	2530	2025	19.40
MITE/DTM	TE_00000920	252	246	6.70
MITE/DTM	TE_00000926	16206	14916	17.94
MITE/DTM	TE_00000945	696	688	1.66
MITE/DTM	TE_00000946	2616	2491	25.31
MITE/DTM	TE_00000948	19872	19791	13.82
MITE/DTM	TE_00000955	2251	2122	25.81
MITE/DTM	TE_00000965	406	403	14.81
MITE/DTM	TE_00000966	3530	3388	23.39
MITE/DTM	TE_00000993	915	899	22.84
MITE/DTM	TE_00000994	74	22	-13.20
MITE/DTM	TE_00000995	166	166	0.00
MITE/DTM	TE_00001005	3453	3423	7.51
MITE/DTM	TE_00001014	1421	1261	16.53
MITE/DTM	TE_00001024	479	471	19.72
MITE/DTM	TE_00001028	43900	41584	24.04
MITE/DTM	TE_00001034	227	218	-4.97
MITE/DTM	TE_00001039	23	21	4.77
MITE/DTM	TE_00001060	10105	9063	24.09
MITE/DTM	TE_00001068	921	908	3.95
MITE/DTM	TE_00001075	5042	4398	24.30
Unknown	TE_00000001	62114	58802	8.64
Unknown	TE_00000002	42908	42506	4.09
Unknown	TE_00000003	45614	44651	10.96
Unknown	TE_00000004	24314	23872	7.63
Unknown	TE_00000005	25566	22330	15.12
Unknown	TE_00000006	14924	14843	2.32
Unknown	TE_00000007	55405	54466	4.50
Unknown	TE_00000010	11439	11305	4.55
Unknown	TE_00000011	75714	71350	13.63
Unknown	TE_00000012	27441	26702	12.53
Unknown	TE_00000013	19185	19152	12.38
Unknown	TE_00000014	21267	20881	16.14
Unknown	TE_00000015	54803	53013	10.33
Unknown	TE_00000016	42609	41575	15.20
Unknown	TE_00000017	4522	4480	6.54
Unknown	TE_00000018	55120	53318	19.61
Unknown	TE_00000019	28383	27739	7.05
Unknown	TE_00000020	40645	39469	16.34
Unknown	TE_00000021	49042	48170	8.51
Unknown	TE_00000022	14302	14122	17.84
Unknown	TE_00000023	22981	22840	10.60
Unknown	TE_00000024	18378	18160	4.28
Unknown	TE_00000025	8193	8022	15.05
Unknown	TE_00000026	26382	24737	12.79
Unknown	TE_00000027	18536	18291	17.37
Unknown	TE_00000028	17245	16846	10.98
Unknown	TE_00000029	16958	16491	17.63
Unknown	TE_00000030	15033	14889	22.13
Unknown	TE_00000031	26117	25810	11.42
Unknown	TE_00000032	14055	13685	4.30
Unknown	TE_00000033	47833	46963	15.98
Unknown	TE_00000034	29308	27624	16.94
Unknown	TE_00000035	22306	21698	15.30
Unknown	TE_00000036	34797	34658	12.61
Unknown	TE_00000037	9027	8837	5.86
Unknown	TE_00000038	11843	11733	11.86
Unknown	TE_00000039	19458	18830	18.12
Unknown	TE_00000040	7039	6921	8.37
Unknown	TE_00000041	6274	6113	12.84
Unknown	TE_00000042	39362	36562	18.12
Unknown	TE_00000043	20424	19909	9.28
Unknown	TE_00000044	17760	17444	8.03
Unknown	TE_00000045	3106	3091	7.83
Unknown	TE_00000046	8903	8058	6.58
Unknown	TE_00000047	17331	16921	11.47
Unknown	TE_00000048	24706	23067	18.45
Unknown	TE_00000049	10428	10255	16.71
Unknown	TE_00000050	6375	6282	4.89
Unknown	TE_00000051	21744	21067	17.31
Unknown	TE_00000052	16525	15826	9.28
Unknown	TE_00000053	14212	13969	4.75
Unknown	TE_00000054	28568	27713	15.25
Unknown	TE_00000056	24548	23897	17.15
Unknown	TE_00000057	74884	71091	6.57
Unknown	TE_00000058	13496	13200	12.55
Unknown	TE_00000059	26727	25561	21.14
Unknown	TE_00000060	18048	17399	15.81
Unknown	TE_00000061	19688	19309	10.16
Unknown	TE_00000062	7226	6779	5.86
Unknown	TE_00000063	11985	11682	13.50
Unknown	TE_00000064	4924	4915	3.68
Unknown	TE_00000065	14236	13740	16.60
Unknown	TE_00000066	9532	9172	14.43
Unknown	TE_00000067	9896	9626	11.66
Unknown	TE_00000068	13028	12902	15.27
Unknown	TE_00000069	8130	8093	18.11
Unknown	TE_00000070	30259	29443	8.07
Unknown	TE_00000071	22491	22299	4.75
Unknown	TE_00000072	12785	12258	2.83
Unknown	TE_00000073	17106	17046	3.78
Unknown	TE_00000074	7179	7073	15.32
Unknown	TE_00000075	9602	9231	16.14
Unknown	TE_00000076	7172	6614	7.89
Unknown	TE_00000077	17060	16258	9.03
Unknown	TE_00000078	6327	6177	19.29
Unknown	TE_00000079	20845	20679	16.46
Unknown	TE_00000080	7587	7512	11.16
Unknown	TE_00000082	2492	2411	13.30
Unknown	TE_00000083	34645	33946	15.54
Unknown	TE_00000084	7281	6834	14.31
Unknown	TE_00000085	4669	4658	8.35
Unknown	TE_00000086	5262	4975	4.28
Unknown	TE_00000087	42358	40524	10.96
Unknown	TE_00000088	3259	3247	3.22
Unknown	TE_00000089	12401	12039	15.31
Unknown	TE_00000090	7101	7100	7.94
Unknown	TE_00000091	19508	18871	12.38
Unknown	TE_00000092	19144	18894	13.78
Unknown	TE_00000093	923	895	17.51
Unknown	TE_00000094	8078	7827	14.13
Unknown	TE_00000095	7071	6985	14.56
Unknown	TE_00000096	4351	4344	4.99
Unknown	TE_00000097	3163	3155	2.44
Unknown	TE_00000098	16575	16433	6.47
Unknown	TE_00000099	17753	17493	4.39
Unknown	TE_00000100	3360	3282	4.38
Unknown	TE_00000101	284	281	6.67
Unknown	TE_00000102	1269	1232	6.42
Unknown	TE_00000103	15909	15722	4.62
Unknown	TE_00000104	25284	23161	15.82
Unknown	TE_00000105	5382	5222	14.41
Unknown	TE_00000106	10697	10558	3.55
Unknown	TE_00000108	5525	5475	11.07
Unknown	TE_00000109	4529	4357	14.50
Unknown	TE_00000110	2060	2037	12.89
Unknown	TE_00000111	5665	5468	17.90
Unknown	TE_00000113	5187	5059	13.83
Unknown	TE_00000114	5528	5333	6.33
Unknown	TE_00000115	5464	5335	9.76
Unknown	TE_00000116	13665	13408	14.78
Unknown	TE_00000117	2835	2828	2.82
Unknown	TE_00000118	7236	6634	10.53
Unknown	TE_00000119	1002	1001	2.48
Unknown	TE_00000120	1112	1021	15.35
Unknown	TE_00000122	15515	14625	19.25
Unknown	TE_00000123	21202	20445	17.60
Unknown	TE_00000124	3571	3468	13.40
Unknown	TE_00000125	19041	18295	25.86
Unknown	TE_00000126	8428	6914	14.68
Unknown	TE_00000127	9468	8930	16.58
Unknown	TE_00000128	15991	15643	15.03
Unknown	TE_00000129	19713	19298	23.93
Unknown	TE_00000130	27027	26285	10.47
Unknown	TE_00000131	20500	18856	17.80
Unknown	TE_00000132	41650	40040	18.40
Unknown	TE_00000133	47828	45548	21.80
Unknown	TE_00000134	5695	5611	15.18
Unknown	TE_00000135	5878	5705	8.99
Unknown	TE_00000136	12557	11494	18.14
Unknown	TE_00000137	21652	20527	16.27
Unknown	TE_00000140	8133	8034	4.39
Unknown	TE_00000141	5665	5606	13.60
Unknown	TE_00000142	5907	5581	22.24
Unknown	TE_00000143	32121	29699	13.16
Unknown	TE_00000145	15916	14852	21.56
Unknown	TE_00000146	15150	14766	18.24
Unknown	TE_00000147	8427	8268	16.18
Unknown	TE_00000150	57186	54972	9.02
Unknown	TE_00000151	7925	7688	17.93
Unknown	TE_00000152	21836	20900	15.80
Unknown	TE_00000154	51913	51706	4.90
Unknown	TE_00000155	18670	17843	19.38
Unknown	TE_00000156	51921	49445	19.71
Unknown	TE_00000157	14937	14393	7.62
Unknown	TE_00000158	13818	13216	9.37
Unknown	TE_00000159	19620	19132	4.11
Unknown	TE_00000160	6016	5661	22.19
Unknown	TE_00000161	62692	59779	14.01
Unknown	TE_00000163	59114	56052	16.55
Unknown	TE_00000164	4657	4465	16.73
Unknown	TE_00000165	12763	11867	20.82
Unknown	TE_00000166	25439	24951	15.77
Unknown	TE_00000167	25130	24646	16.79
Unknown	TE_00000168	26303	24895	8.88
Unknown	TE_00000169	27915	27363	6.55
Unknown	TE_00000170	9293	8874	15.93
Unknown	TE_00000172	1037	996	14.74
Unknown	TE_00000173	21418	19790	14.44
Unknown	TE_00000174	45902	45467	3.53
Unknown	TE_00000175	67498	65661	7.97
Unknown	TE_00000176	19308	18801	4.46
Unknown	TE_00000177	16451	15597	17.53
Unknown	TE_00000179	6283	5891	19.66
Unknown	TE_00000184	5794	5710	3.82
Unknown	TE_00000185	19867	19137	4.80
Unknown	TE_00000186	18942	18582	6.25
Unknown	TE_00000187	10076	9766	13.23
Unknown	TE_00000188	31550	30413	6.96
Unknown	TE_00000189	25021	23965	12.53
Unknown	TE_00000191	10261	9755	16.88
Unknown	TE_00000192	28231	28048	5.78
Unknown	TE_00000193	21846	20276	16.65
Unknown	TE_00000194	40531	38696	13.21
Unknown	TE_00000195	3013	2989	-0.83
Unknown	TE_00000196	29882	27590	14.19
Unknown	TE_00000198	22087	21741	2.75
Unknown	TE_00000199	47562	45516	5.17
Unknown	TE_00000202	10172	9892	15.07
Unknown	TE_00000203	4812	4554	20.23
Unknown	TE_00000204	13007	12788	11.49
Unknown	TE_00000205	26339	25845	11.66
Unknown	TE_00000206	35971	34065	13.33
Unknown	TE_00000207	15160	14515	8.63
Unknown	TE_00000208	23513	23029	7.86
Unknown	TE_00000209	3923	3767	18.35
Unknown	TE_00000210	32738	31526	5.24
Unknown	TE_00000211	15128	13798	17.36
Unknown	TE_00000212	5144	5085	8.97
Unknown	TE_00000213	45640	44487	6.07
Unknown	TE_00000214	15624	15483	5.91
Unknown	TE_00000215	163	157	11.63
Unknown	TE_00000216	20580	18359	18.70
Unknown	TE_00000217	18125	17457	11.76
Unknown	TE_00000218	19676	18952	15.18
Unknown	TE_00000219	9957	9633	4.55
Unknown	TE_00000220	2866	2849	10.98
Unknown	TE_00000221	4940	4913	7.58
Unknown	TE_00000222	23285	22954	2.65
Unknown	TE_00000223	61311	57176	12.29
Unknown	TE_00000224	20433	19665	21.82
Unknown	TE_00000226	22422	21453	5.56
Unknown	TE_00000227	35460	33538	22.20
Unknown	TE_00000228	37954	35833	18.33
Unknown	TE_00000229	6028	5928	7.97
Unknown	TE_00000230	15243	14678	10.17
Unknown	TE_00000231	2845	2821	1.40
Unknown	TE_00000232	4569	4487	13.84
Unknown	TE_00000233	24618	24016	2.90
Unknown	TE_00000234	4471	4351	11.90
Unknown	TE_00000235	37926	36613	12.15
Unknown	TE_00000236	14617	12863	13.28
Unknown	TE_00000237	9306	8984	9.63
Unknown	TE_00000238	10517	10233	7.49
Unknown	TE_00000239	15767	15065	4.46
Unknown	TE_00000240	15438	14876	6.59
Unknown	TE_00000241	9017	8755	15.28
Unknown	TE_00000242	6455	6333	7.47
Unknown	TE_00000243	8056	7999	1.99
Unknown	TE_00000244	3993	3836	16.28
Unknown	TE_00000245	56536	54061	11.10
Unknown	TE_00000246	10487	10105	12.71
Unknown	TE_00000247	15625	15135	7.76
Unknown	TE_00000248	58179	56605	3.12
Unknown	TE_00000249	57537	56709	4.10
Unknown	TE_00000250	38581	35368	21.56
Unknown	TE_00000251	4981	4923	18.79
Unknown	TE_00000252	5065	4914	21.08
Unknown	TE_00000253	14480	13887	13.52
Unknown	TE_00000254	22745	21982	6.83
Unknown	TE_00000255	20178	18505	17.50
Unknown	TE_00000256	3104	2862	6.88
Unknown	TE_00000257	10303	9810	14.35
Unknown	TE_00000259	15106	13264	18.66
Unknown	TE_00000260	16506	16166	10.15
Unknown	TE_00000261	2710	2673	0.51
Unknown	TE_00000262	3758	3577	15.82
Unknown	TE_00000263	23868	23514	9.92
Unknown	TE_00000265	14853	14364	8.48
Unknown	TE_00000266	11160	10827	7.38
Unknown	TE_00000267	38626	36764	24.43
Unknown	TE_00000268	16867	16407	14.51
Unknown	TE_00000269	11234	10682	18.51
Unknown	TE_00000270	13626	13243	15.54
Unknown	TE_00000271	5698	5398	15.80
Unknown	TE_00000272	6718	6339	7.36
Unknown	TE_00000273	6487	6267	14.05
Unknown	TE_00000274	4084	3933	5.01
Unknown	TE_00000275	30177	29466	5.73
Unknown	TE_00000276	12414	11944	16.97
Unknown	TE_00000277	3505	3134	14.64
Unknown	TE_00000278	53627	51660	10.82
Unknown	TE_00000279	59694	59192	4.35
Unknown	TE_00000280	8546	8195	15.98
Unknown	TE_00000281	15681	15088	9.80
Unknown	TE_00000282	26306	25807	3.41
Unknown	TE_00000283	32864	30928	18.64
Unknown	TE_00000284	26999	26368	14.01
Unknown	TE_00000285	20934	20208	16.87
Unknown	TE_00000286	35948	34183	3.57
Unknown	TE_00000287	13048	12624	12.03
Unknown	TE_00000288	11891	11451	11.42
Unknown	TE_00000289	2085	2037	4.78
Unknown	TE_00000290	7784	7748	12.64
Unknown	TE_00000291	14675	13613	17.36
Unknown	TE_00000292	20117	20013	3.97
Unknown	TE_00000293	15727	14646	11.36
Unknown	TE_00000294	5356	5035	17.93
Unknown	TE_00000295	17832	17233	10.83
Unknown	TE_00000297	18554	18375	4.68
Unknown	TE_00000299	7324	7163	9.85
Unknown	TE_00000300	13069	13004	2.19
Unknown	TE_00000301	12717	12114	17.56
Unknown	TE_00000302	7316	7155	8.57
Unknown	TE_00000303	18490	17171	14.09
Unknown	TE_00000304	8500	8180	8.89
Unknown	TE_00000305	2421	2331	9.79
Unknown	TE_00000306	20366	19137	11.71
Unknown	TE_00000307	9930	9629	5.19
Unknown	TE_00000308	41740	41104	4.95
pararetrovirus	TE_00000009	116923	115184	12.12
pararetrovirus	TE_00000181	160289	157791	8.03


Coverage for each repeat class and divergence (Kimura)
Div DNA/DTA DNA/DTC DNA/DTH DNA/DTM DNA/DTT DNA/Helitron LINE/unknown LTR/Copia LTR/Gypsy LTR/unknown MITE/DTA MITE/DTC MITE/DTH MITE/DTM Unknown pararetrovirus 
0 11026 103134 32812 322823 10890 391375 0 284266 836697 94692 4879 136 1336 13692 461488 0 
1 1981 3305 23555 68674 2520 18870 0 72532 383534 29312 136 0 0 374 315633 18779 
2 5802 2546 6220 64643 97 12089 1145 100923 564469 58469 116 0 38 723 252539 34805 
3 2642 3221 5228 78120 0 11631 2097 167779 367729 48570 542 0 0 504 261637 17795 
4 5139 5012 6393 84620 117 13523 721 170121 379639 66927 76 0 0 290 187362 22855 
